id,predict,presict
47472,0,0.99
36841,0,0.55
3135,0,0.38
65218,0,0.45
1847,0,1.0
50001,0,0.35
32126,0,0.99
19675,0,0.36
29933,0,0.99
55351,0,0.27
35293,0,0.49
65473,0,0.99
2182,0,1.0
11933,0,0.48
56476,0,0.44
40471,0,0.67
2849,0,1.0
43492,0,0.46
14688,0,1.0
47037,0,0.42
49762,0,0.86
59737,0,0.55
28378,0,0.99
65453,0,0.45
21762,0,1.0
52800,0,0.5
10659,0,0.35
38047,0,0.55
67318,0,0.42
67210,0,1.0
43090,0,0.58
42460,0,0.43
13997,0,0.83
9143,0,0.99
5103,0,0.5
15102,0,0.4
62439,0,0.56
70058,0,0.87
19735,0,0.47
59126,0,0.43
5927,0,0.2
32503,0,0.38
40702,0,0.57
26604,0,0.42
42503,0,0.34
68994,0,0.37
30102,0,0.32
67466,0,0.39
67602,0,0.32
70752,0,0.99
56324,0,0.47
31703,0,0.99
36710,0,0.21
2982,0,0.48
42251,0,0.62
30677,0,1.0
39375,0,0.99
52034,0,0.66
36007,0,0.41
5581,0,0.98
66955,0,1.0
46343,0,0.97
54827,0,0.49
44799,0,0.33
12469,0,0.19
10541,0,0.99
46210,0,1.0
12557,0,0.99
4959,0,0.61
54065,0,0.36
4297,0,0.26
4057,0,0.39
51254,0,0.51
1552,0,1.0
61365,0,0.59
66638,0,0.27
65256,0,0.58
47348,0,0.26
63491,0,0.98
72386,0,0.63
28261,0,0.55
59906,0,0.98
60744,0,1.0
51532,0,0.48
6529,0,1.0
60464,0,0.35
41238,0,1.0
29873,0,0.43
11861,0,0.91
23968,0,1.0
69768,0,0.37
36338,0,1.0
43734,0,1.0
2326,0,0.46
18888,0,0.53
68438,0,0.37
51746,0,0.35
31092,0,0.88
20165,0,0.34
13960,0,0.48
68843,0,0.62
924,0,1.0
29470,0,0.4
4651,0,0.43
65130,0,1.0
56995,0,1.0
15990,0,0.18
8723,0,0.49
65481,0,0.23
57953,0,1.0
44628,0,0.54
71297,0,0.27
53954,0,1.0
6369,0,0.5
31454,0,0.39
44927,0,0.57
54695,0,0.44
51554,0,0.41
19199,0,0.43
210,0,0.36
51959,0,0.39
29915,0,1.0
7047,0,0.51
69435,0,1.0
52282,0,0.51
6793,0,0.34
12064,0,0.53
71061,0,0.65
2550,0,0.26
559,0,0.46
61245,0,0.52
39129,0,0.69
14517,0,0.51
52080,0,1.0
51916,0,1.0
51823,0,0.31
34567,0,0.58
52549,0,0.45
14387,0,0.5
57968,0,0.35
43028,0,0.26
26154,0,0.4
66080,0,0.24
62914,0,0.36
542,0,0.5
31590,0,0.46
49627,0,0.5
12396,0,1.0
29095,0,0.28
1213,0,0.52
47356,0,0.99
17175,0,0.54
59540,0,1.0
37640,0,0.48
2458,0,0.74
5723,0,0.6
47848,0,0.62
23543,0,0.62
46093,0,0.82
6264,0,0.35
30328,0,0.34
51149,0,0.44
68003,0,0.39
21238,0,0.31
40213,0,0.29
62507,0,0.51
21346,0,0.59
67773,0,0.35
46314,0,0.32
37053,0,0.49
41652,0,0.53
45965,0,0.33
12228,0,1.0
28904,0,0.45
40899,0,0.99
42647,0,0.99
33723,0,0.43
72824,0,0.43
21408,0,0.47
11280,0,0.55
33562,0,0.45
24218,0,0.25
20256,0,0.62
30145,0,0.98
61465,0,0.27
66419,0,0.6
56567,0,0.98
70874,0,0.29
57254,0,0.28
48017,0,0.6
3606,0,0.64
30379,0,0.29
31481,0,0.81
1151,0,1.0
67052,0,0.39
24066,0,0.36
11999,0,1.0
45787,0,0.36
20185,0,0.72
48989,0,0.43
52342,0,1.0
17198,0,1.0
8410,0,0.35
28348,0,0.42
12175,0,0.65
26267,0,0.99
71222,0,0.45
39373,0,1.0
7700,0,0.39
59945,0,0.53
712,0,0.35
65407,0,0.53
65277,0,0.49
54437,0,0.57
13365,0,0.62
60159,0,0.85
70845,0,1.0
65388,0,0.79
51958,0,0.41
44862,0,0.74
5799,0,0.45
58101,0,0.41
52089,0,1.0
6295,0,0.93
72020,0,1.0
48871,0,0.47
2218,0,1.0
69249,0,0.31
23410,0,0.51
39105,0,0.99
9170,0,0.47
71044,0,0.67
46136,0,0.88
44426,0,1.0
7293,0,0.39
2019,0,0.32
49179,0,0.48
62075,0,0.42
14491,0,0.61
52668,0,0.44
36155,0,0.39
47345,0,0.28
5511,0,0.68
48836,0,0.44
10826,0,1.0
65998,0,0.51
45538,0,0.37
70230,0,0.57
27572,0,0.99
3429,0,0.47
5074,0,0.46
29453,0,1.0
31840,0,1.0
68020,0,0.73
55137,0,0.4
12686,0,0.98
10238,0,0.65
17515,0,0.42
56286,0,0.34
18108,0,0.56
12117,0,0.61
43424,0,0.54
23488,0,0.41
60899,0,0.25
41175,0,0.96
9923,0,1.0
8920,0,0.67
55455,0,1.0
59642,0,1.0
53924,0,1.0
57598,0,0.22
2291,0,0.31
44962,0,0.99
954,0,1.0
10548,0,0.99
60491,0,0.38
34257,0,0.23
18937,0,0.99
49196,0,0.23
50931,0,0.55
36896,0,0.47
12618,0,0.55
18352,0,0.28
22052,0,0.34
70654,0,0.72
5563,0,0.22
59027,0,0.57
7273,0,0.61
40242,0,0.51
48472,0,1.0
60602,0,0.7
13111,0,0.28
70428,0,0.99
29934,0,0.51
48843,0,0.52
44224,0,1.0
51894,0,0.6
31857,0,0.69
4702,0,0.42
1261,0,0.38
3591,0,1.0
21209,0,0.45
53695,0,0.62
7953,0,0.61
40842,0,0.36
22284,0,0.42
40144,0,0.69
36909,0,0.53
45395,0,0.51
36857,0,0.43
354,0,0.49
70992,0,0.45
28559,0,0.52
19805,0,0.33
63323,0,0.56
65766,0,1.0
6372,0,0.25
62233,0,0.34
16536,0,1.0
31720,0,0.41
38560,0,0.42
56001,0,0.42
15166,0,0.42
13571,0,0.73
27213,0,1.0
44526,0,0.33
66315,0,0.97
56616,0,0.31
22969,0,0.42
64520,0,0.99
19590,0,0.54
70241,0,0.68
8203,0,0.36
29539,0,1.0
41146,0,0.46
51486,0,0.54
68420,0,0.61
23757,0,0.63
11843,0,0.59
12366,0,0.43
12689,0,0.99
21625,0,0.27
16987,0,0.99
37440,0,0.57
16927,0,1.0
44010,0,0.99
14099,0,0.38
66333,0,0.37
41069,0,0.37
14695,0,0.99
63958,0,0.42
18414,0,0.48
30290,0,1.0
5951,0,0.61
8976,0,0.99
10552,0,0.48
66772,0,0.41
35660,0,1.0
38014,0,0.9
35229,0,0.26
4077,0,0.36
14241,0,0.48
10792,0,0.35
69112,0,0.36
62182,0,0.24
17950,0,0.38
31564,0,0.35
2543,0,0.4
67981,0,0.54
37937,0,0.56
63050,0,0.99
12985,0,0.64
63656,0,0.29
45565,0,0.32
65814,0,0.62
64132,0,1.0
9752,0,0.35
56996,0,0.83
62861,0,0.43
40087,0,1.0
36638,0,0.99
70267,0,0.52
31364,0,0.7
29224,0,0.62
16582,0,0.36
72231,0,0.48
10018,0,0.39
9199,0,0.82
27693,0,0.51
43059,0,0.54
61418,0,0.38
70380,0,0.32
15539,0,1.0
16263,0,0.55
41648,0,1.0
19931,0,0.69
39186,0,0.31
33401,0,0.97
15791,0,1.0
6072,0,0.32
17174,0,0.42
25326,0,0.67
50441,0,0.31
22127,0,0.4
18180,0,0.36
15969,0,0.48
42929,0,0.49
16868,0,1.0
72366,0,0.91
35772,0,0.57
22607,0,0.98
32689,0,1.0
39639,0,0.83
51421,0,0.45
45622,0,0.94
21953,0,0.61
56976,0,0.5
58833,0,0.34
12812,0,0.46
31835,0,0.67
70965,0,0.48
69666,0,0.92
32127,0,0.42
31473,0,0.46
7564,0,0.61
20973,0,0.62
72435,0,0.43
59894,0,0.54
35941,0,0.99
7937,0,0.38
46015,0,0.98
66502,0,0.42
17708,0,0.36
22540,0,0.2
59992,0,0.4
54395,0,0.33
59045,0,0.93
5319,0,0.99
28326,0,0.32
22254,0,0.3
33924,0,1.0
42072,0,0.45
10973,0,0.56
56736,0,1.0
40447,0,0.41
59437,0,0.51
47005,0,0.48
32766,0,0.21
37090,0,0.33
22352,0,0.34
34772,0,0.55
33552,0,0.52
22417,0,0.37
11762,0,0.37
53748,0,1.0
22330,0,0.25
24009,0,1.0
55790,0,1.0
61171,0,0.37
16817,0,1.0
13176,0,1.0
6726,0,0.33
452,0,0.32
11770,0,0.57
59190,0,0.41
63577,0,0.49
70042,0,0.73
63764,0,0.45
5647,0,0.39
69551,0,0.52
8614,0,0.3
17347,0,0.62
25088,0,0.24
58202,0,1.0
35565,0,0.45
15351,0,1.0
48298,0,0.44
67217,0,0.42
37089,0,1.0
10511,0,0.64
17270,0,1.0
44105,0,0.37
62466,0,0.53
10710,0,1.0
31596,0,0.87
8541,0,0.43
34966,0,0.95
57854,0,0.42
50136,0,0.36
11745,0,1.0
40622,0,0.95
3816,0,0.41
43271,0,1.0
43615,0,0.6
55051,0,0.69
63467,0,0.19
72819,0,0.95
17791,0,0.47
53144,0,0.84
28913,0,0.63
41148,0,0.98
29552,0,0.36
26742,0,0.37
26723,0,0.99
71929,0,0.72
55337,0,0.47
39236,0,0.98
1665,0,0.33
10434,0,0.45
28150,0,0.39
52882,0,0.99
49265,0,0.57
60211,0,0.48
40837,0,0.45
50522,0,0.24
44112,0,0.97
22269,0,0.36
40076,0,0.43
40210,0,0.54
