ID,predict
53608,0.81
51055,0.77
52573,0.01
50458,0.2
52272,0.32
52072,0.74
50973,0.36
50553,0.09
53135,0.19
53835,0.33
51843,0.09
54145,0.43
53878,0.29
54216,0.19
51728,0.37
52863,0.21
50760,0.43
50823,0.44
53928,0.84
52683,0.7
50200,0.15
52984,0.06
50747,0.25
54128,0.22
52001,0.75
50276,0.34
52651,0.65
53535,0.06
52387,0.42
52884,0.95
53205,0.28
52873,0.34
52376,0.43
51950,0.48
51650,0.86
53901,0.2
51919,0.16
50065,0.01
52885,0.34
51413,0.14
52768,0.36
51375,0.14
54157,0.29
53328,0.08
53362,0.04
52202,0.04
50640,0.18
52298,0.55
53477,0.04
50078,0.23
51998,0.23
52336,0.18
52654,0.17
53341,0.12
53868,0.82
52945,0.12
52411,0.09
52222,0.13
51813,0.08
50175,0.32
51744,0.2
53521,0.83
51261,0.11
51619,0.03
51479,0.15
52020,0.16
53306,0.16
53013,0.68
50117,0.18
51992,0.39
54233,0.91
51709,0.72
50930,0.16
50637,0.23
52333,0.39
51627,0.17
53524,0.05
50167,0.02
50330,0.61
53678,0.1
53581,0.84
50243,0.2
50237,0.18
53032,0.71
50235,0.09
50012,0.14
53264,0.5
50729,0.14
53195,0.25
50069,0.59
52091,0.51
50697,0.1
51477,0.11
52262,0.55
53822,0.14
53533,0.82
52983,0.49
50777,0.15
53630,0.19
52743,0.23
52584,0.64
51428,0.22
54194,0.1
52849,0.77
52839,0.76
52867,0.03
53043,0.41
52266,0.19
52478,0.5
51336,0.88
52840,0.29
51997,0.14
53976,0.3
50670,0.11
50370,0.13
50921,0.06
50983,0.3
51456,0.48
53104,0.78
50594,0.43
52201,0.28
52992,0.01
50240,0.11
50014,0.14
52583,0.24
52625,0.24
51357,0.19
50080,0.1
50521,0.07
51886,0.23
52367,0.08
52917,0.18
53378,0.1
50779,0.11
52352,0.22
50021,0.42
50726,0.16
52679,0.0
50389,0.29
50905,0.04
50409,0.41
52473,0.2
52089,0.08
50522,0.13
50603,0.7
53796,0.04
53167,0.16
53351,0.1
53680,0.8
53273,0.61
52913,0.13
50098,0.16
53479,0.13
50804,0.35
50074,0.8
53635,0.0
50189,0.82
53138,0.39
53786,0.49
50268,0.05
53688,0.5
51962,0.21
53639,0.22
53792,0.34
52631,0.55
50129,0.14
52712,0.16
50432,0.37
53221,0.31
53474,0.36
54232,0.36
50151,0.25
52516,0.79
53019,0.03
52510,0.54
50252,0.03
53354,0.35
50448,0.84
52796,0.13
50641,0.24
52189,0.19
53588,0.76
53324,0.31
51809,0.19
50258,0.88
54271,0.23
52785,0.24
50026,0.48
51529,0.14
51636,0.39
52050,0.48
52419,0.23
53228,0.72
52425,0.12
53470,0.25
52139,0.21
50471,0.26
52374,0.84
50136,0.19
51736,0.38
52638,0.11
51458,0.11
51027,0.34
51870,0.65
50960,0.77
52212,0.04
53337,0.13
51421,0.24
51740,0.05
52988,0.41
51551,0.09
51574,0.53
52285,0.14
51984,0.91
52735,0.74
52037,0.1
51522,0.85
52383,0.42
53724,0.49
52435,0.09
51506,0.12
53863,0.74
53212,0.3
50955,0.44
51646,0.1
50769,0.13
50675,0.37
54180,0.24
50174,0.62
52475,0.06
52472,0.3
52312,0.0
51007,0.19
52287,0.43
52334,0.28
50354,0.16
52462,0.07
52731,0.03
53106,0.05
52469,0.66
53076,0.38
50177,0.18
50028,0.63
51856,0.07
53294,0.58
50394,0.65
50791,0.02
51325,0.24
52366,0.5
50372,0.27
51474,0.17
54117,0.09
50413,0.6
51471,0.09
52079,0.05
51553,0.58
52207,0.1
53764,0.05
50806,0.35
52853,0.22
53938,0.51
50353,0.3
52097,0.1
52780,0.72
50390,0.22
53988,0.25
53910,0.95
52128,0.94
53569,0.18
53007,0.11
54039,0.38
52755,0.17
52545,0.34
50342,0.13
52793,0.59
52238,0.17
50782,0.87
51376,0.86
51520,0.1
53075,0.08
51600,0.22
53834,0.15
53964,0.16
51767,0.05
51481,0.12
52998,0.32
52217,0.72
53890,0.0
54196,0.05
53749,0.17
52076,0.56
54197,0.03
52307,0.43
53787,0.45
53805,0.4
51806,0.29
52795,0.66
50256,0.06
51457,0.43
53506,0.12
52765,0.06
52461,0.18
53081,0.07
54086,0.02
52554,0.16
51764,0.21
53689,0.4
53653,0.72
53401,0.23
53402,0.42
50395,0.29
50326,0.15
51830,0.17
52574,0.15
53670,0.39
52802,0.08
51045,0.14
51836,0.52
50694,0.11
52152,0.04
52778,0.09
53770,0.19
50455,0.89
54001,0.13
53067,0.75
52400,0.85
53799,0.33
50962,0.13
50657,0.19
50171,0.33
50035,0.12
52200,0.13
51700,0.18
53259,0.41
51955,0.14
52414,0.25
54195,0.05
54276,0.18
54079,0.12
52979,0.08
52621,0.05
54256,0.06
50901,0.22
50862,0.09
52528,0.85
53016,0.34
50083,0.11
50128,0.03
51496,0.66
51860,0.7
53311,0.2
54125,0.16
50503,0.89
54142,0.27
51849,0.35
50757,0.52
53726,0.02
53211,0.06
51148,0.34
50677,0.2
52512,0.26
51615,0.09
50357,0.5
53691,0.29
54132,0.29
52492,0.28
52664,0.66
50125,0.54
50306,0.12
50746,0.1
52858,0.16
52481,0.79
50216,0.21
53087,0.16
52669,0.17
53386,0.0
50662,0.48
50508,0.16
51989,0.9
51005,0.22
50311,0.25
51450,0.04
50579,0.45
52130,0.08
51125,0.68
51894,0.86
51270,0.15
50060,0.74
50343,0.69
52228,0.15
51406,0.39
51340,0.12
54242,0.25
51787,0.58
50481,0.39
51278,0.12
50736,0.18
50964,0.04
52105,0.32
53892,0.17
51657,0.62
52729,0.82
53721,0.48
53307,0.48
52122,0.24
50447,0.22
53420,0.75
52167,0.62
51277,0.1
53643,0.67
53975,0.18
51290,0.33
51315,0.35
53206,0.56
52586,0.14
54234,0.32
54124,0.1
51697,0.22
50856,0.18
52980,0.82
53489,0.17
53000,0.25
52997,0.06
50750,0.31
52301,0.04
53141,0.45
53573,0.18
51114,0.02
51648,0.16
52415,0.9
51000,0.12
50005,0.2
54249,0.51
51300,0.77
50365,0.06
53544,0.9
51069,0.62
53849,0.38
53158,0.09
52094,0.04
53502,0.07
50690,0.58
50564,0.09
50885,0.13
52544,0.48
52265,0.03
53086,0.45
50981,0.07
52368,0.14
51305,0.14
53695,0.64
53657,0.55
52423,0.55
54008,0.0
50576,0.08
51225,0.59
52017,0.12
50975,0.41
50162,0.19
50077,0.08
53500,0.42
52294,0.63
53698,0.44
53672,0.43
50081,0.75
52320,0.06
51263,0.0
51347,0.26
53098,0.21
54053,0.8
52790,0.29
52646,0.2
53699,0.36
52871,0.07
54085,0.42
53117,0.12
51053,0.1
51779,0.84
53031,0.42
52748,0.83
51524,0.47
51158,0.73
51418,0.07
50027,0.19
51085,0.24
50452,0.17
50255,0.86
51986,0.69
51244,0.03
52026,0.28
53752,0.57
53166,0.37
53345,0.51
53139,0.09
50214,0.28
52681,0.08
54057,0.31
50199,0.53
50246,0.87
53734,0.41
50857,0.26
50463,0.16
54041,0.27
54058,0.07
51569,0.24
51649,0.53
54209,0.18
54007,0.63
50836,0.35
52699,0.32
50164,0.11
50321,0.07
51067,0.23
50610,0.44
50514,0.65
52362,0.13
50251,0.61
51025,0.79
50623,0.06
51572,0.21
50632,0.21
52650,0.09
50988,0.13
53916,0.06
52652,0.74
51397,0.09
53659,0.25
51957,0.06
52899,0.15
51472,0.73
50263,0.19
50018,0.8
53948,0.4
53967,0.21
51250,0.04
50100,0.7
51865,0.14
51123,0.26
50376,0.41
50420,0.55
50611,0.06
51100,0.47
50138,0.1
50995,0.25
50584,0.15
52684,0.42
53806,0.08
54245,0.05
50950,0.14
50896,0.95
52628,0.37
51021,0.2
50883,0.23
53700,0.18
53914,0.13
50501,0.31
52317,0.44
50215,0.12
51750,0.14
52068,0.2
52064,0.18
54139,0.04
53953,0.15
50470,0.17
52188,0.96
50556,0.24
50768,0.32
50972,0.58
53045,0.19
51431,0.14
52235,0.03
53077,0.12
50329,0.25
51172,0.86
53154,0.12
54059,0.16
52974,0.2
51207,0.88
53282,0.1
50325,0.62
52820,0.57
52003,0.26
53281,0.29
53607,0.12
54108,0.37
51443,0.41
52708,0.77
50843,0.18
53855,0.68
53904,0.36
51653,0.26
50400,0.07
53319,0.11
50755,0.23
52125,0.3
52553,0.63
50346,0.16
50278,0.29
51466,0.38
53778,0.16
52640,0.84
50600,0.68
50560,0.24
51679,0.29
50270,0.77
51233,0.12
51968,0.84
52296,0.27
53037,0.58
52842,0.61
54052,0.05
50300,0.06
53753,0.52
51848,0.92
52048,0.07
53033,0.11
50920,0.02
53927,0.06
53930,0.17
51799,0.36
51253,0.16
50195,0.1
53454,0.21
53883,0.13
52350,0.19
51291,0.06
51591,0.74
53431,0.12
51946,0.13
52056,0.15
53779,0.38
51419,0.09
53413,0.62
53512,0.02
53663,0.24
50544,0.22
51577,0.25
53870,0.81
51387,0.1
50047,0.59
50748,0.04
54238,0.24
50737,0.17
52016,0.8
52619,0.24
50969,0.99
53567,0.22
50183,0.64
51681,0.32
51330,0.61
51935,0.13
51706,0.31
53293,0.24
50259,0.9
52117,0.28
52208,0.57
50518,0.51
53490,0.12
50043,0.37
54162,0.46
50568,0.82
52284,0.1
50570,0.03
51094,0.96
51381,0.11
53355,0.31
50261,0.58
52073,0.17
50655,0.05
50796,0.89
53116,0.23
51631,0.23
51720,0.32
50754,0.18
54116,0.02
54077,0.04
54171,0.48
51961,0.12
52329,0.15
50829,0.07
54064,0.13
52850,0.08
53412,0.01
52490,0.67
51464,0.09
53520,0.89
52029,0.69
54005,0.04
50279,0.94
51539,0.03
51200,0.43
53235,0.17
52474,0.27
52131,0.34
50776,0.05
52397,0.67
51800,0.25
51774,0.12
53568,0.64
53058,0.74
53854,0.9
51533,0.36
53178,0.35
51390,0.59
51753,0.38
51793,0.16
50170,0.4
54239,0.51
54032,0.24
53216,0.19
52878,0.41
50833,0.13
52770,0.31
53574,0.07
51676,0.12
51396,0.12
51508,0.11
50375,0.79
51987,0.07
50863,0.04
53487,0.25
53022,0.1
51943,0.66
53427,0.6
52592,0.44
53428,0.16
51956,0.28
51659,0.1
52964,0.92
53879,0.05
52933,0.25
52527,0.1
51541,0.79
51530,0.12
50533,0.21
