enrollee_id,target
7129,0.09
31037,0.23
22179,0.19
29724,0.15
17977,0.17
30328,0.47
9446,0.09
13697,0.12
1184,0.09
23961,0.05
6678,0.38
8036,0.12
17965,0.21
4072,0.04
4227,0.05
25537,0.03
21570,0.44
13081,0.25
14738,0.19
29682,0.08
17682,0.02
31754,0.08
19571,0.65
31449,0.1
31499,0.59
1875,0.76
20322,0.21
11012,0.09
25952,0.11
14563,0.75
10374,0.15
19570,0.66
8630,0.15
9722,0.46
16493,0.13
20636,0.1
17628,0.2
24537,0.14
562,0.01
388,0.23
9615,0.23
1024,0.075
14795,0.04
26122,0.24
6476,0.15
6580,0.58
12291,0.25
13868,0.19
30447,0.17
29763,0.05
6448,0.1
24943,0.24
3330,0.11
30049,0.3
7404,0.22
5442,0.09
1113,0.14
41,0.07
22981,0.15
24407,0.07
8715,0.17
16071,0.59
28082,0.15
1883,0.15
11446,0.75
30964,0.14
8591,0.13
11660,0.13
31610,0.01
27271,0.01
10785,0.07
18416,0.64
2780,0.09
10544,0.55
19882,0.05
554,0.02
32205,0.05
13718,0.06
21846,0.45
11572,0.1
32481,0.14
26408,0.06
27461,0.04
9916,0.0
13553,0.28
32214,0.06
27643,0.08
21357,0.81
8623,0.04
14569,0.52
22020,0.59
14642,0.03
2261,0.65
3538,0.03
27247,0.06
4554,0.58
24883,0.12
23155,0.07
26287,0.08
32632,0.07
6637,0.14
18172,0.09
6352,0.04
10906,0.04
16403,0.62
13041,0.17
25838,0.11
13700,0.15
31581,0.08
7237,0.16
10136,0.11
22384,0.18
8311,0.0
27310,0.51
16397,0.04
30139,0.03
12344,0.12
9538,0.12
19575,0.13
10753,0.18
23324,0.11
9924,0.04
14989,0.18
31412,0.0
16642,0.48
745,0.1
31999,0.26
1338,0.05
9642,0.53
16443,0.55
2831,0.06
3746,0.2
7845,0.55
7238,0.645
9901,0.35
30971,0.04
29529,0.14
19445,0.08
22721,0.05
23315,0.09
29639,0.04
10832,0.1
8709,0.07
28858,0.0
3695,0.0
24402,0.02
856,0.14
20398,0.56
21719,0.07
19475,0.06
11568,0.11
25031,0.04
21307,0.62
20816,0.39
16425,0.26
27349,0.15
31918,0.02
12078,0.09
16906,0.13
3977,0.05
12608,0.17
463,0.13
27516,0.12
30277,0.29
8282,0.12
8109,0.17
1659,0.11
21611,0.04
14017,0.01
3318,0.02
6454,0.13
17961,0.15
14416,0.23
11487,0.17
28358,0.07
23525,0.19
27826,0.23
2035,0.07
13245,0.06
32065,0.04
30853,0.12
32452,0.13
2486,0.03
4045,0.04
5079,0.07
33118,0.08
26826,0.03
20961,0.13
3581,0.19
20871,0.08
7833,0.12
8502,0.3
14194,0.09
21045,0.13
2173,0.01
19369,0.06
23509,0.01
10061,0.09
30527,0.16
13613,0.16
25335,0.12
8368,0.19
6662,0.22
20305,0.14
7061,0.15
4557,0.11
20190,0.12
15125,0.2
14027,0.09
27554,0.04
23428,0.19
25856,0.2
31793,0.24
15093,0.1
25197,0.02
33332,0.29
7975,0.06
7660,0.02
6426,0.01
13427,0.24
18448,0.01
21280,0.62
17325,0.57
11704,0.1
13860,0.07
14072,0.12
33336,0.2
18773,0.2
14517,0.09
24662,0.05
19414,0.08
3667,0.07
29499,0.24
22158,0.25
2192,0.19
21804,0.15
11586,0.17
4722,0.13
33144,0.25
13519,0.18
16529,0.66
24745,0.23
8128,0.59
21883,0.1
23812,0.13
32206,0.51
1867,0.49
8475,0.19
17296,0.7
2757,0.01
30292,0.55
4964,0.09
17025,0.09
28790,0.11
15724,0.13
22051,0.12
19004,0.26
6802,0.02
9687,0.2
2248,0.02
3990,0.16
18410,0.73
12183,0.13
1728,0.18
3924,0.0
19736,0.03
10620,0.08
18641,0.27
425,0.18
30248,0.0
8409,0.16
19978,0.2
24090,0.75
31442,0.1
600,0.11
6207,0.04
28469,0.0
9693,0.09
28127,0.38
18626,0.64
11472,0.18
24751,0.07
14394,0.54
20123,0.14
18619,0.02
25910,0.15
15604,0.68
7940,0.09
18694,0.06
18349,0.66
1321,0.03
7264,0.05
31068,0.35
17306,0.62
21007,0.02
819,0.13
15597,0.11
16958,0.03
19275,0.0
1201,0.23
5172,0.45
13404,0.11
13731,0.15
11775,0.05
10766,0.55
5766,0.0
30610,0.2
25068,0.63
13019,0.16
9311,0.01
28828,0.08
16163,0.03
21770,0.07
3301,0.18
22703,0.04
24323,0.62
32382,0.16
1383,0.15
32803,0.1
31239,0.02
1585,0.04
23137,0.07
27534,0.09
6059,0.04833333333333333
32170,0.14
11528,0.01
20799,0.08
27238,0.47
10781,0.53
19803,0.01
13737,0.07
6410,0.16
27242,0.03
3824,0.01
9845,0.1
6470,0.23
18678,0.11
26598,0.03
45,0.12
26623,0.74
22245,0.04
12562,0.2
15448,0.03
22647,0.08
5747,0.78
25723,0.018333333333333333
32683,0.04
7574,0.04
28414,0.16
25989,0.03
25141,0.64
7111,0.07
2058,0.07
13637,0.13
23591,0.06
20039,0.08
158,0.79
15331,0.13
18628,0.1
1458,0.09
14818,0.29
33297,0.35
31135,0.61
25391,0.28
3682,0.02
20131,0.12
31872,0.02
27766,0.25
27402,0.17
29432,0.17
10476,0.04
33113,0.07
5755,0.06
24964,0.28
25379,0.15
23905,0.2
13339,0.74
33373,0.05
20491,0.45
15866,0.24
21196,0.07
7513,0.01
16738,0.15
24393,0.08
28352,0.02
31953,0.05
21732,0.48
7221,0.06
10592,0.1
18656,0.03
802,0.04
5500,0.15
19635,0.15
23165,0.13
25445,0.55
26835,0.76
25575,0.18
1695,0.05
4875,0.21
33238,0.15
14846,0.21
13179,0.03
18874,0.06
21665,0.02
3045,0.06
13342,0.49
2521,0.04
28611,0.0
16000,0.15
13098,0.46
28813,0.08
28415,0.14
14902,0.13
21880,0.02
10043,0.08
28021,0.03
16686,0.14
2997,0.15
22818,0.06
6907,0.62
12845,0.03
32805,0.49
8930,0.43
27322,0.45
15803,0.17
5013,0.06
32240,0.19
12788,0.11
24774,0.07
14269,0.13
7075,0.11
6472,0.65
17212,0.1375
19251,0.09
11884,0.37
19252,0.11
16719,0.23
8815,0.16
17713,0.2
20873,0.06
6208,0.21
21896,0.18
6004,0.03
6516,0.08
20439,0.05
26084,0.59
308,0.06
10535,0.02
21427,0.18
28557,0.02
17491,0.11
422,0.25
31625,0.06
7483,0.01
32230,0.56
32434,0.15
14769,0.14
28914,0.2
16547,0.64
30686,0.04
11714,0.23
27293,0.11
14256,0.24
13746,0.02
13003,0.18
8862,0.23
20440,0.06
26362,0.23
26132,0.09
25409,0.05
9058,0.5
1637,0.07
20265,0.14
19819,0.07
4094,0.04
32265,0.05
3718,0.11
15069,0.09
20720,0.05
10507,0.05
3119,0.05
1935,0.06
7133,0.0
20715,0.09
27932,0.06
23853,0.01
31033,0.26
14439,0.86
3814,0.11
16262,0.12
951,0.04
25002,0.14
17118,0.11
31289,0.04
11941,0.09
5700,0.05
16950,0.88
4733,0.03
10789,0.62
26357,0.09
6170,0.04
8118,0.08
32146,0.1
29100,0.1
28956,0.16
29903,0.11
18001,0.05
757,0.01
6631,0.37
52,0.15
11689,0.12
33261,0.19
