id,predict
168,0.04
162,0.02
151,0.12
297,0.92
298,0.85
121,0.0
71,0.0
52,0.0
231,0.0
48,0.02
14,0.02
74,0.0
129,0.12
311,0.96
320,0.99
224,0.0
154,0.01
237,0.03
244,0.0
37,0.41
288,0.95
50,0.0
103,0.0
258,0.02
187,0.0
248,0.0
282,0.88
221,0.0
307,0.88
204,0.0
120,0.01
20,0.0
119,0.02
195,0.0
206,0.0
290,0.95
142,0.12
54,0.0
149,0.02
146,0.02
153,0.0
92,0.0
210,0.02
167,0.0
107,0.0
99,0.41
189,0.0
249,0.0
328,0.99
58,0.03
326,0.89
61,0.01
102,0.02
21,0.0
303,1.0
59,0.0
170,0.0
270,0.0
334,0.99
57,0.0
91,0.07
277,0.95
87,0.03
207,0.0
106,0.01
46,0.12
90,0.11
175,0.0
171,0.0
317,0.96
226,0.0
281,0.94
252,0.0
183,0.02
1,0.0
318,0.99
241,0.0
130,0.0
41,0.05
269,0.0
88,0.01
304,0.99
219,0.0
116,0.0
220,0.0
79,0.0
