ID,predict
780,1.0
7059,0.55
3271,0.33
6244,0.49
1606,1.0
4713,0.45
2962,0.99
3385,0.28
441,1.0
5383,0.14
3784,0.51
831,1.0
1017,1.0
4283,0.31
10252,0.4
5791,0.69
1584,0.99
5053,0.42
19,0.99
3749,0.42
1306,0.85
5688,0.54
1042,0.99
10254,0.35
53,0.99
6267,0.5
3268,0.43
7962,0.59
5477,0.46
2084,0.99
6833,0.46
4134,0.42
1344,0.82
1364,1.0
10991,0.48
9536,0.34
6873,0.58
884,0.85
5578,0.39
7855,0.34
6653,0.2
3975,0.56
8554,0.52
7100,0.47
3337,0.26
7828,0.42
3649,0.19
7034,0.5
9473,0.27
2879,1.0
6678,0.49
2327,1.0
6763,0.34
9393,0.55
8520,0.73
2612,0.99
2731,1.0
10459,0.65
9630,0.47
2187,1.0
1157,1.0
682,0.99
7683,0.43
6761,0.4
9956,0.31
2315,0.99
2842,1.0
1056,1.0
3583,0.51
8250,0.36
9890,0.32
3701,0.4
9578,0.44
2554,1.0
8675,0.53
4618,0.19
9545,0.55
3632,0.29
2504,0.99
4297,0.54
6888,0.52
2797,1.0
620,1.0
9603,0.4
69,1.0
8724,0.28
2442,1.0
9302,0.59
912,0.92
1810,0.99
10166,0.44
63,1.0
632,0.98
3853,0.5
3318,0.58
3139,0.37
8760,0.41
1007,0.86
6910,0.43
10642,0.45
5832,0.5
1962,0.97
10053,0.46
3159,0.49
1509,1.0
1677,1.0
7021,0.08
5518,0.58
8680,0.22
508,1.0
8797,0.47
6947,0.34
3007,0.99
7266,0.51
4628,0.53
5253,0.47
3738,0.45
7920,0.4
8343,0.54
6123,0.38
5093,0.38
96,1.0
3366,0.55
1107,0.99
9349,0.64
3610,0.24
4293,0.56
6003,0.68
8790,0.26
6542,0.53
4260,0.53
4683,0.56
6663,0.6
1298,1.0
997,1.0
5839,0.32
8778,0.53
5959,0.38
7056,0.33
3459,0.32
5244,0.27
9751,0.36
6072,0.38
6273,0.33
7344,0.45
4177,0.4
5647,0.57
2166,1.0
8911,0.43
4739,0.56
1196,1.0
5012,0.53
1393,1.0
4751,0.37
2292,0.79
6370,0.59
3886,0.59
10655,0.56
640,0.81
8650,0.37
8670,0.34
4205,0.48
7279,0.46
6945,0.35
3608,0.3
4631,0.46
5818,0.58
3339,0.42
7231,0.41
9445,0.65
4906,0.49
4401,0.36
2246,1.0
4520,0.42
277,1.0
2650,1.0
3409,0.54
6137,0.44
10184,0.58
7837,0.58
8158,0.41
3215,0.35
7600,0.53
2170,0.99
9825,0.25
9185,0.48
808,0.99
4423,0.31
3322,0.26
3997,0.54
9932,0.6
4883,0.4
2998,0.72
2389,1.0
4462,0.41
10070,0.43
2269,1.0
8227,0.44
3201,0.68
9068,0.37
1998,1.0
1871,1.0
10012,0.46
3697,0.38
4017,0.7
160,1.0
10833,0.47
735,1.0
3344,0.37
10965,0.5
10366,0.4
5846,0.47
10011,0.38
4635,0.55
3263,0.56
2066,0.84
1016,1.0
2818,0.79
6659,0.51
4296,0.73
8853,0.5
7566,0.29
2190,1.0
1826,0.93
2808,1.0
7309,0.42
1976,1.0
5967,0.28
10080,0.41
425,1.0
3338,0.51
7771,0.63
1355,0.91
1563,1.0
8114,0.48
10597,0.4
9017,0.42
10558,0.38
5020,0.63
7800,0.45
6835,0.41
4995,0.34
6508,0.61
10369,0.51
928,0.99
10719,0.54
7592,0.32
3304,0.55
546,1.0
4619,0.39
5230,0.56
1327,1.0
2186,1.0
1026,0.74
9597,0.49
668,0.99
10055,0.67
3443,0.47
3276,0.44
4929,0.42
4888,0.59
3977,0.47
6111,0.43
4696,0.27
1645,0.96
2993,0.99
5527,0.64
2532,0.99
2086,1.0
1561,1.0
9348,0.25
4282,0.4
2034,0.99
2599,1.0
2175,1.0
3230,0.47
9530,0.22
967,0.99
6905,0.17
9414,0.55
3578,0.55
9368,0.51
9255,0.32
7167,0.31
2810,0.75
7579,0.27
10793,0.59
7842,0.52
10296,0.53
2783,1.0
3211,0.57
7701,0.37
667,1.0
7411,0.47
7525,0.39
502,1.0
6520,0.48
10567,0.66
3783,0.39
3286,0.37
2097,1.0
7706,0.41
8098,0.52
9731,0.62
7548,0.33
5548,0.47
9156,0.47
6825,0.52
9960,0.46
8152,0.41
9784,0.49
6149,0.41
7015,0.48
5009,0.39
7261,0.56
2948,1.0
7458,0.35
3949,0.37
1765,0.99
5575,0.37
4220,0.52
6328,0.4
8094,0.38
6493,0.72
2274,1.0
10875,0.24
194,0.96
7844,0.43
8688,0.44
1184,0.98
8891,0.59
9682,0.57
5608,0.32
1884,1.0
8751,0.54
8870,0.58
8887,0.51
4630,0.44
6434,0.56
10129,0.43
1609,1.0
4306,0.36
2154,1.0
8448,0.46
3083,1.0
78,1.0
10908,0.32
5735,0.31
8425,0.37
720,0.99
4675,0.31
4988,0.31
713,1.0
6506,0.64
1360,0.99
10036,0.45
5188,0.43
1982,1.0
2382,0.84
8663,0.33
9573,0.37
4727,0.51
5988,0.39
9195,0.3
4452,0.31
5061,0.37
10052,0.4
4622,0.28
7475,0.51
9336,0.52
2264,1.0
5573,0.65
7097,0.33
10229,0.35
6354,0.66
641,1.0
6851,0.35
410,0.84
3618,0.42
320,1.0
1878,1.0
4818,0.64
3200,0.75
5915,0.59
8691,0.34
6147,0.46
7629,0.38
1771,0.81
10021,0.46
8714,0.56
3621,0.32
3686,0.4
1083,1.0
8756,0.53
1486,1.0
466,0.7
10605,0.29
907,0.99
1850,1.0
6183,0.24
10901,0.4
10468,0.67
6471,0.27
7782,0.6
10075,0.37
9415,0.38
4117,0.5
2329,1.0
1660,0.86
7111,0.5
1014,0.99
51,1.0
137,0.84
8494,0.46
486,0.98
10187,0.64
8981,0.5
3336,0.31
7916,0.5
2753,0.72
4352,0.49
1907,0.88
3695,0.48
4479,0.57
4807,0.62
7205,0.64
8074,0.42
6210,0.54
1549,1.0
6528,0.37
2890,1.0
4356,0.3
7161,0.34
6158,0.24
8386,0.52
8765,0.35
110,0.94
1419,1.0
7113,0.3
8886,0.39
2429,1.0
10429,0.34
8539,0.53
1229,0.99
8162,0.5
4358,0.53
10042,0.5
10594,0.27
7689,0.43
8421,0.27
10276,0.44
7841,0.47
8693,0.29
5378,0.33
2009,0.99
4353,0.26
1387,1.0
701,0.96
7853,0.4
1709,1.0
2610,1.0
4442,0.36
6982,0.42
9425,0.51
6632,0.51
4717,0.47
10454,0.58
4006,0.34
10088,0.47
7788,0.55
5793,0.24
7440,0.65
6637,0.29
2013,0.99
9958,0.41
233,1.0
3820,0.44
4469,0.44
1943,1.0
5242,0.45
772,1.0
8764,0.29
3871,0.61
789,1.0
1471,0.82
3521,0.46
2139,0.97
6868,0.39
10531,0.42
2767,0.99
262,0.95
6286,0.41
207,0.99
6552,0.42
4846,0.56
5499,0.11
2297,0.99
4513,0.52
570,0.95
9206,0.64
