ID,predict
8800,0.33
8801,0.33
8802,0.29
8803,0.43
8804,0.27
8805,0.75
8806,0.31
8807,0.51
8808,0.39
8809,0.46
8810,0.4
8811,0.51
8812,0.38
8813,0.53
8814,0.56
8815,0.35
8816,0.46
8817,0.48
8818,0.51
8819,0.58
8820,0.54
8821,0.44
8822,0.43
8823,0.55
8824,0.43
8825,0.43
8826,0.48
8827,0.53
8828,0.43
8829,0.65
8830,0.69
8831,0.7
8832,0.49
8833,0.45
8834,0.34
8835,0.63
8836,0.68
8837,0.41
8838,0.45
8839,0.41
8840,0.57
8841,0.67
8842,0.49
8843,0.34
8844,0.53
8845,0.61
8846,0.26
8847,0.34
8848,0.61
8849,0.64
8850,0.63
8851,0.4
8852,0.3
8853,0.55
8854,0.42
8855,0.43
8856,0.48
8857,0.41
8858,0.58
8859,0.56
8860,0.45
8861,0.44
8862,0.42
8863,0.26
8864,0.28
8865,0.5
8866,0.63
8867,0.34
8868,0.56
8869,0.44
8870,0.61
8871,0.55
8872,0.6
8873,0.38
8874,0.43
8875,0.66
8876,0.69
8877,0.57
8878,0.52
8879,0.47
8880,0.44
8881,0.41
8882,0.52
8883,0.47
8884,0.35
8885,0.73
8886,0.55
8887,0.49
8888,0.74
8889,0.44
8890,0.58
8891,0.55
8892,0.33
8893,0.55
8894,0.57
8895,0.4
8896,0.47
8897,0.3
8898,0.51
8899,0.6
8900,0.43
8901,0.49
8902,0.66
8903,0.61
8904,0.69
8905,0.56
8906,0.53
8907,0.61
8908,0.61
8909,0.49
8910,0.48
8911,0.66
8912,0.46
8913,0.72
8914,0.53
8915,0.64
8916,0.42
8917,0.5
8918,0.37
8919,0.76
8920,0.34
8921,0.41
8922,0.24
8923,0.49
8924,0.23
8925,0.65
8926,0.52
8927,0.55
8928,0.91
8929,0.52
8930,0.46
8931,0.44
8932,0.71
8933,0.41
8934,0.78
8935,0.71
8936,0.61
8937,0.48
8938,0.61
8939,0.67
8940,0.35
8941,0.35
8942,0.45
8943,0.49
8944,0.54
8945,0.46
8946,0.31
8947,0.42
8948,0.42
8949,0.42
8950,0.47
8951,0.58
8952,0.7
8953,0.78
8954,0.34
8955,0.54
8956,0.33
8957,0.54
8958,0.33
8959,0.43
8960,0.53
8961,0.62
8962,0.5
8963,0.43
8964,0.24
8965,0.52
8966,0.3
8967,0.41
8968,0.44
8969,0.48
8970,0.33
8971,0.35
