index,predict
623,0.14629639804639805
1063,0.26196103896103884
735,0.10953142179457964
176,0.96
289,0.0
1815,0.61
775,0.0
614,0.31
942,0.10166666666666668
1021,0.006607142857142857
1352,0.0
635,0.016666666666666666
1639,1.0
1678,0.95
1531,0.03
209,0.26
61,0.085
786,0.04166666666666666
873,0.0
1325,0.5315183982683981
26,0.71
1389,0.945
750,0.22483211233211223
1662,0.03333333333333333
1645,0.04
287,0.12265559440559437
1816,0.06
307,0.008333333333333333
1883,0.49469444444444455
1647,0.15
1597,0.7915000000000001
793,0.39154761904761903
1752,0.17342857142857138
688,0.01
1160,0.2825
1062,0.33
1151,0.44999999999999996
240,0.0
1846,0.068
721,0.5515238095238096
1169,1.0
1505,0.49469444444444455
65,0.20666666666666667
664,1.0
1222,0.94
1864,0.0
860,0.698
975,0.9966666666666667
1917,0.06983333333333334
940,0.7930238095238092
1675,0.92
40,1.0
1872,0.061000000000000006
1834,0.0125
850,0.0
1408,0.8460714285714286
157,0.07083333333333335
843,0.15383333333333335
1030,0.16
23,0.11
202,0.0
1022,0.052250000000000005
1264,0.0
1604,0.061000000000000006
1276,0.47392857142857153
492,0.024
1534,0.36
1223,0.7475
232,0.27274999999999994
622,0.03
423,1.0
1778,0.0
895,0.01
246,0.0
1193,0.17
1378,0.05533333333333333
1691,1.0
1144,0.0
255,1.0
28,0.05
1338,1.0
1824,0.67
1055,0.99
781,0.0
333,0.24
1464,0.0
1804,0.013857142857142856
744,0.4325
1707,0.22483211233211223
1493,0.392
1463,0.39154761904761903
955,0.98
1708,0.2833333333333333
29,0.09333333333333334
1253,1.0
193,0.10102777777777777
1788,0.16
384,0.38
1860,0.01
1299,0.071
631,0.97
1435,0.0
1758,0.06833333333333334
717,0.12347258297258293
350,0.29
388,0.02
1819,0.5977380952380951
316,0.07166666666666667
476,0.61
1929,0.0
1354,1.0
966,0.97
1407,0.2532738095238095
619,0.67
174,0.94
308,0.7664166666666667
1131,0.0
424,0.06333333333333332
1930,0.21600000000000003
521,0.051416666666666666
1111,0.024
1771,1.0
1183,0.0776468253968254
351,0.12892857142857142
578,0.5012972582972585
1307,0.13867532467532467
385,0.0
187,0.35
798,0.08571428571428572
425,0.07091666666666667
144,0.2532738095238095
1829,0.2
745,0.3366666666666667
1959,0.74
1732,0.361
841,1.0
1233,0.82
1795,0.061523809523809515
235,0.1418333333333333
1937,0.49
230,0.17
920,0.23
1593,0.03
1641,0.17739776889776893
60,0.392
1471,0.23
931,0.0175
345,0.2
1506,0.0
616,0.245
1553,1.0
239,0.6742777777777778
816,0.5515238095238096
510,0.01
1210,0.6660357142857143
1599,0.3812142857142857
47,0.01
1951,0.0825
74,0.45037212787212794
498,0.23433333333333337
1637,0.4413412698412698
929,0.0
449,0.023333333333333334
1716,0.2202341269841269
1019,0.27
1702,0.71
1863,0.0075
1907,0.05
171,0.43467857142857136
1841,0.13
1983,0.81
1009,1.0
708,0.01
1357,0.02
683,0.3116190476190475
1628,0.034444444444444444
976,0.0775
993,0.21166666666666667
1559,0.02
528,0.480888888888889
859,0.12347258297258293
1851,0.74
1635,0.99
1501,0.12347258297258293
1368,0.98
184,0.18
1275,0.3098333333333333
835,0.7275
379,0.99
773,0.157
1066,0.026666666666666665
1813,1.0
1722,1.0
1503,0.6338809523809524
1482,0.55
442,0.12
1661,0.20354040404040405
86,0.165
1227,0.061000000000000006
1108,0.84
1514,1.0
1293,0.0
900,0.0
1366,0.11
1432,0.2901904761904761
1542,0.2479213564213563
1347,0.1294404761904762
916,0.99
1305,0.0275
1500,0.7215952380952382
223,0.38797619047619036
1923,0.06966666666666665
435,1.0
1342,0.5977380952380951
1674,0.69
1269,0.13416666666666668
1525,0.5315183982683981
319,0.95
228,0.0
392,0.04
1563,0.4938333333333334
1324,0.69
1441,0.002936507936507936
1710,0.98
477,0.9725555555555556
1400,0.013333333333333332
1410,0.01
1791,0.17185711510711507
1973,1.0
1136,0.44
378,0.99
1365,0.4375
1173,0.4229999999999999
713,0.3485714285714285
445,0.165
1774,0.0
42,0.9833333333333333
856,0.44999999999999996
1105,0.89
277,0.13666666666666666
1933,0.32
1379,0.8575
1499,0.2412380952380952
259,0.01
591,0.06398809523809523
1745,0.23199999999999998
1541,0.17739776889776893
1118,0.4425
535,1.0
247,0.59
992,0.4399065656565658
1146,0.12265559440559437
1687,0.0
1174,0.43483333333333335
1797,0.33025396825396813
1023,0.5977380952380951
1894,0.45037212787212794
374,0.05666666666666667
574,0.035
615,0.2432420634920634
1763,0.5152658730158729
1792,1.0
1595,0.0075
862,0.2432420634920634
1154,0.31
1004,0.0
1057,0.071
734,0.98
1236,0.48166666666666663
896,0.18
1941,0.3123571428571428
1195,0.09333333333333334
534,0.035333333333333335
1476,0.39
1701,0.7915000000000001
278,0.04
905,0.03
1090,0.24161111111111114
1061,0.0
704,0.81
881,0.12265559440559437
1957,0.4938333333333334
1208,0.17583333333333337
135,0.01
198,0.8641666666666667
1899,0.026999999999999996
1215,0.99
1083,0.02
33,0.4876666666666666
1682,0.0345
1789,0.36516666666666664
1892,0.0
177,0.40802777777777777
801,0.05166666666666666
35,0.71
1947,0.1
964,0.69
699,0.5
125,0.0
585,0.9676666666666668
1918,1.0
918,0.81
1076,0.98
58,0.54
411,0.006357142857142856
8,0.97
1906,1.0
158,0.24
613,0.7915000000000001
1230,0.99
1451,0.101008658008658
652,0.8625714285714287
1696,0.32436904761904756
1730,0.036011904761904766
434,0.9733333333333333
1465,0.08
1129,0.99
1667,0.0225
1765,0.34
320,0.15503318903318902
1928,0.97
132,0.17739776889776893
668,0.24
987,0.8925
67,1.0
480,0.68
456,1.0
1809,0.0
149,0.3151666666666666
791,0.882
1837,0.4075
597,0.5012972582972585
1125,0.0
429,0.0
586,0.492053724053724
1543,0.008095598845598845
1862,0.02
1246,0.37616666666666676
1243,0.87
692,0.01269047619047619
719,0.06983333333333334
934,0.02
1244,0.26458333333333334
417,1.0
118,0.95
610,0.05800000000000001
1502,0.024000000000000004
678,1.0
367,0.011818181818181818
266,0.0
1333,0.40802777777777777
774,0.02
1865,1.0
25,0.377
765,0.16333333333333336
297,0.95
1934,0.7466666666666667
1355,0.19
1199,0.08083333333333333
1713,0.12347258297258293
305,0.3
822,0.12265559440559437
1587,0.24417640692640688
63,0.4904166666666667
1590,0.76
599,0.32966666666666666
1228,0.0
1945,0.16
220,0.5654166666666667
203,0.4399065656565658
833,0.99
1818,0.05833333333333334
1884,0.17891666666666667
1026,0.20354040404040405
453,0.05563492063492065
229,0.01
1742,0.2479213564213563
530,0.4585000000000001
286,0.4770634920634921
584,0.0275
1335,0.4
1024,0.3
1437,0.03
663,0.035
1571,1.0
1186,0.05166666666666666
988,0.31683333333333336
407,0.99
1059,0.008095598845598845
1337,0.06642063492063491
311,0.97
1700,0.0645
24,0.98
1889,0.7166666666666666
776,0.7930238095238092
1180,0.013333333333333332
662,0.013333333333333332
1739,0.04166666666666666
1609,0.065
406,0.0925
473,0.92
1967,0.0225
716,0.049
455,0.09715584415584416
1224,0.73
1322,0.96
1877,0.04
373,0.227952380952381
315,0.10953142179457964
1658,0.8
994,0.06741666666666667
973,1.0
1598,0.26
1698,0.6338809523809524
1507,0.03
404,0.68
1350,0.06
108,0.062
899,1.0
1304,0.0
1000,0.10953142179457964
1800,0.14
1359,0.44333333333333336
1,0.4938333333333334
1805,0.12265559440559437
467,0.08
536,0.4158333333333332
66,0.43
1866,0.015
870,0.3991666666666667
1029,0.0
1735,0.9616666666666667
1133,0.07
1886,0.0022222222222222222
1681,0.061000000000000006
1002,0.5472857142857142
705,0.05
489,0.36
1377,1.0
1963,0.40639177489177464
984,0.3676111111111111
140,0.06166666666666667
1371,0.17891666666666667
338,0.4770634920634921
792,0.0
730,0.3495
1612,1.0
1513,1.0
756,0.02757936507936508
1003,0.08
69,0.0
1385,0.49469444444444455
962,0.03333333333333333
1728,0.013333333333333332
1817,0.02
959,0.3495
1657,0.0
1040,0.055
440,0.5012972582972585
1153,0.39154761904761903
1589,0.8496428571428573
1047,0.98
14,0.0
797,0.10953142179457964
1252,0.0
1266,0.9
712,0.88
1135,0.17851190476190473
832,1.0
301,0.09266666666666666
518,0.55
99,0.42100000000000004
1078,0.0
1415,0.14444444444444446
1390,0.21499999999999997
1566,1.0
262,0.08858730158730158
1680,0.6243333333333334
1803,0.98
401,0.3576904761904763
1158,0.08566666666666667
568,0.15503318903318902
290,0.392
1079,0.01
840,0.14629639804639805
967,0.0275
834,0.7133333333333334
1852,0.0
1427,0.945
1762,0.185
1825,0.3098333333333333
1956,0.08
436,0.31333333333333335
1630,0.02
1038,0.1418333333333333
583,0.02
863,0.06583333333333333
