cust_id,gender
3500,0.55
3501,0.13
3502,0.39
3503,0.5
3504,0.3
3505,0.51
3506,0.35
3507,0.39
3508,0.38
3509,0.44
3510,0.19
3511,0.43
3512,0.46
3513,0.12
3514,0.44
3515,0.36
3516,0.08
3517,0.48
3518,0.42
3519,0.61
3520,0.42
3521,0.4
3522,0.88
3523,0.28
3524,0.44
3525,0.57
3526,0.3
3527,0.82
3528,0.49
3529,0.44
3530,0.27
3531,0.43
3532,0.48
3533,0.29
3534,0.31
3535,0.32
3536,0.56
3537,0.57
3538,0.48
3539,0.4
3540,0.16
3541,0.33
3542,0.46
3543,0.53
3544,0.48
3545,0.33
3546,0.2
3547,0.04
3548,0.74
3549,0.26
3550,0.49
3551,0.57
3552,0.34
3553,0.28
3554,0.56
3555,0.27
3556,0.55
3557,0.32
3558,0.31
3559,0.3
3560,0.37
3561,0.25
3562,0.16
3563,0.34
3564,0.57
3565,0.65
3566,0.05
3567,0.65
3568,0.38
3569,0.65
3570,0.44
3571,0.42
3572,0.56
3573,0.41
3574,0.24
3575,0.68
3576,0.53
3577,0.44
3578,0.39
3579,0.34
3580,0.63
3581,0.82
3582,0.35
3583,0.7
3584,0.48
3585,0.31
3586,0.08
3587,0.26
3588,0.2
3589,0.49
3590,0.34
3591,0.26
3592,0.74
3593,0.42
3594,0.3
3595,0.59
3596,0.39
3597,0.48
3598,0.41
3599,0.43
3600,0.52
3601,0.19
3602,0.51
3603,0.3
3604,0.41
3605,0.44
3606,0.51
3607,0.11
3608,0.28
3609,0.3
3610,0.51
3611,0.66
3612,0.72
3613,0.22
3614,0.45
3615,0.15
3616,0.52
3617,0.785
3618,0.33
3619,0.08
3620,0.56
3621,0.29
3622,0.49
3623,0.54
3624,0.38
3625,0.36
3626,0.49
3627,0.34
3628,0.61
3629,0.37
3630,0.3
3631,0.84
3632,0.47
3633,0.32
3634,0.14
3635,0.4
3636,0.29
3637,0.34
3638,0.36
3639,0.59
3640,0.53
3641,0.24
3642,0.56
3643,0.24
3644,0.42
3645,0.65
3646,0.18
3647,0.34
3648,0.46
3649,0.47
3650,0.2
3651,0.46
3652,0.27
3653,0.51
3654,0.44
3655,0.38
3656,0.49
3657,0.32
3658,0.19
3659,0.11
3660,0.3
3661,0.43
3662,0.18
3663,0.45
3664,0.63
3665,0.46
3666,0.7433333333333334
3667,0.2
3668,0.26
3669,0.52
3670,0.43
3671,0.44666666666666666
3672,0.41
3673,0.39
3674,0.49
3675,0.75
3676,0.22
3677,0.42
3678,0.31
3679,0.46
3680,0.24
3681,0.5
3682,0.4
3683,0.24
3684,0.53
3685,0.4
3686,0.2
3687,0.25
3688,0.29
3689,0.64
3690,0.4
3691,0.13
3692,0.2
3693,0.35
3694,0.35
3695,0.91
3696,0.68
3697,0.37
3698,0.27
3699,0.47
3700,0.24
3701,0.18
3702,0.35
3703,0.42
3704,0.45
3705,0.64
3706,0.4
3707,0.2
3708,0.1
