custid,gender
0,0.49
1,0.18
2,0.31
3,0.54
4,0.3
5,0.53
6,0.36
7,0.5
8,0.25
9,0.21
10,0.13
11,0.38
12,0.45
13,0.2
14,0.55
15,0.36
16,0.08
17,0.42
18,0.33
19,0.62
20,0.58
21,0.45
22,0.85
23,0.15
24,0.5
25,0.63
26,0.32
27,0.82
28,0.44
29,0.4
30,0.36
31,0.44
32,0.55
33,0.28
34,0.43
35,0.39
36,0.69
37,0.49
38,0.5
39,0.44
40,0.18
41,0.3
42,0.43
43,0.56
44,0.38
45,0.29
46,0.2
47,0.04
48,0.57
49,0.27
50,0.52
51,0.53
52,0.45
53,0.27
54,0.66
55,0.23
56,0.52
57,0.26
58,0.33
59,0.36
60,0.45
61,0.25
62,0.2
63,0.33
64,0.41
65,0.61
66,0.04
67,0.66
68,0.37
69,0.63
70,0.39
71,0.32
72,0.54
73,0.38
74,0.38
75,0.59
76,0.61
77,0.43
78,0.39
79,0.22
80,0.68
81,0.76
82,0.57
83,0.71
84,0.53
85,0.3
86,0.11
87,0.29
88,0.26
89,0.52
90,0.41
91,0.31
92,0.77
93,0.48
94,0.19
95,0.66
96,0.38
97,0.37
98,0.38
99,0.55
100,0.42
101,0.23
102,0.32
103,0.34
104,0.41
105,0.31
106,0.58
107,0.21
108,0.34
109,0.3
110,0.5
111,0.71
112,0.64
113,0.26
114,0.58
115,0.12
116,0.52
117,0.79
118,0.39
119,0.12
120,0.59
121,0.47
122,0.41
123,0.64
124,0.3
125,0.49
126,0.54
127,0.31
128,0.66
129,0.21
130,0.34
131,0.81
132,0.53
133,0.4
134,0.26
135,0.31
136,0.34
137,0.41
138,0.45
139,0.67
140,0.44
141,0.16
142,0.68
143,0.22
144,0.37
145,0.72
146,0.15
147,0.24
148,0.46
149,0.57
150,0.17
151,0.47
152,0.22
153,0.61
154,0.48
155,0.41
156,0.49
157,0.3
158,0.24
159,0.19
160,0.31
161,0.38
162,0.22
163,0.52
164,0.61
165,0.54
166,0.7
167,0.31
168,0.22
169,0.54
170,0.36
171,0.55
172,0.23
173,0.53
174,0.57
175,0.77
176,0.27
177,0.5
178,0.36
179,0.6
180,0.28
181,0.66
182,0.455
183,0.27
184,0.44
185,0.41
186,0.22
187,0.26
188,0.32
189,0.66
190,0.42
191,0.17
192,0.27
193,0.35
194,0.36
195,0.86
196,0.61
197,0.35
198,0.25
199,0.42
200,0.39
201,0.21
202,0.34
203,0.54
204,0.31
205,0.56
206,0.37
207,0.26
208,0.1
209,0.3
210,0.22
211,0.19
212,0.66
213,0.18
214,0.59
215,0.41
216,0.16
217,0.34
218,0.09
219,0.27
220,0.54
221,0.415
222,0.33
223,0.36
224,0.54
225,0.41
226,0.34
227,0.48
228,0.33
229,0.43
230,0.49
231,0.41
232,0.43
233,0.82
234,0.19
235,0.38
236,0.28
237,0.66
238,0.36
239,0.41
240,0.46
241,0.67
242,0.21
243,0.39
244,0.28
245,0.48
246,0.32
247,0.24
248,0.08
249,0.78
250,0.33
251,0.57
252,0.43
253,0.67
254,0.34
255,0.59
256,0.75
257,0.51
258,0.53
259,0.37
260,0.32
261,0.41
262,0.26
263,0.13
264,0.37
265,0.35
266,0.79
267,0.44
268,0.21
269,0.39
270,0.6
271,0.26
272,0.6
273,0.45
274,0.17
275,0.38
276,0.69
277,0.27
278,0.32
279,0.53
280,0.33
281,0.46
282,0.35
283,0.43
284,0.82
285,0.55
286,0.45
287,0.58
288,0.59
289,0.43
290,0.19
291,0.22
292,0.33
293,0.55
294,0.3
295,0.34
296,0.11
297,0.42
298,0.4
299,0.6
300,0.36
301,0.24
302,0.21
303,0.35
304,0.39
305,0.58
306,0.31
307,0.1
308,0.55
309,0.21
310,0.38
311,0.5
312,0.53
313,0.63
314,0.34
315,0.44
316,0.52
317,0.28
318,0.32
319,0.35
320,0.39
321,0.54
322,0.32
323,0.24
324,0.12
325,0.52
326,0.23
327,0.37
328,0.38
329,0.57
330,0.86
331,0.21
332,0.22
333,0.15
334,0.28
335,0.27
336,0.33
337,0.27
338,0.65
339,0.61
340,0.5
341,0.26
342,0.23
343,0.17
344,0.35
345,0.2
346,0.4
347,0.17
348,0.23
349,0.58
350,0.28
351,0.23
352,0.54
353,0.51
354,0.58
355,0.15
356,0.33
357,0.22
358,0.4
359,0.6
360,0.78
361,0.18
362,0.36
363,0.48
364,0.815
365,0.45
366,0.86
367,0.73
368,0.61
369,0.46
370,0.46
371,0.55
372,0.56
373,0.35
374,0.58
375,0.05
376,0.43
377,0.25
378,0.55
379,0.68
380,0.55
381,0.06
382,0.18
383,0.44
384,0.17
385,0.31
386,0.2114285714285714
387,0.18
388,0.33
389,0.25
390,0.56
391,0.42
392,0.18
393,0.17
394,0.13
395,0.2
396,0.31
397,0.3
398,0.58
399,0.28
400,0.63
401,0.44
402,0.38
403,0.49
404,0.54
405,0.44
406,0.45
407,0.38
408,0.46
409,0.61
410,0.32
411,0.2
412,0.52
413,0.45
414,0.34
415,0.23
416,0.42
417,0.52
418,0.68
419,0.18
420,0.54
421,0.41
422,0.4
423,0.7880952380952381
424,0.53
425,0.24
426,0.13
427,0.18
428,0.54
429,0.62
430,0.32
431,0.17
432,0.51
433,0.47
434,0.13
435,0.32
436,0.08
437,0.25
438,0.44
439,0.6
440,0.3
441,0.2
442,0.12
443,0.47
444,0.13
445,0.15
446,0.5
447,0.03
448,0.46
449,0.3
450,0.4
451,0.51
452,0.3
453,0.32
454,0.87
455,0.38
456,0.27
457,0.3
458,0.42
459,0.37
460,0.43
461,0.58
462,0.49
463,0.17
464,0.48
465,0.6
466,0.26
467,0.25
468,0.85
469,0.28
470,0.32
471,0.17
472,0.58
473,0.71
474,0.42
475,0.38
476,0.46
477,0.27
478,0.53
479,0.59
480,0.45
481,0.22
482,0.2
483,0.53
484,0.5
485,0.14
486,0.14
487,0.23
488,0.38
489,0.58
490,0.5
491,0.5
492,0.18
493,0.29
494,0.24
495,0.36
496,0.35
497,0.32
498,0.6
499,0.68
500,0.49
501,0.54
502,0.34
503,0.29
504,0.44
505,0.34
506,0.28
507,0.48
508,0.43
509,0.31
510,0.34
511,0.23
512,0.53
513,0.32
514,0.23
515,0.51
516,0.21
517,0.39
518,0.44
519,0.4
520,0.25
521,0.59
522,0.47
523,0.51
524,0.5
525,0.43
526,0.62
527,0.54
528,0.23
529,0.25
530,0.09
531,0.17
532,0.42
533,0.36
534,0.51
535,0.54
536,0.53
537,0.21
538,0.37
539,0.25
540,0.5
541,0.17
542,0.27
543,0.23
544,0.41
545,0.9
546,0.24
547,0.33
548,0.5
549,0.35
550,0.33
551,0.33
552,0.44
553,0.3
554,0.35
555,0.51
556,0.58
557,0.38
558,0.49
559,0.73
560,0.36
561,0.49
562,0.47
563,0.51
564,0.61
565,0.6
566,0.3
567,0.21
568,0.23
569,0.48
570,0.17
571,0.36
572,0.18
573,0.22
574,0.2
575,0.5
576,0.29
577,0.32
578,0.3
579,0.49
580,0.45
581,0.19
582,0.35
583,0.28
584,0.44
585,0.32
586,0.48
587,0.39
588,0.45
589,0.15
590,0.37
591,0.47
592,0.4
593,0.63
594,0.4
595,0.43
596,0.55
597,0.56
598,0.68
599,0.5
600,0.48
601,0.56
602,0.3
603,0.21
604,0.2
605,0.58
606,0.15
607,0.44
608,0.38
609,0.38
610,0.14
611,0.66
612,0.34
613,0.47
614,0.47
615,0.32
616,0.56
617,0.38
618,0.23
619,0.36
620,0.36
621,0.63
622,0.56
623,0.4
624,0.75
625,0.39
626,0.09
627,0.3
628,0.19
629,0.51
630,0.28
631,0.52
632,0.4
633,0.21
634,0.33
635,0.27
636,0.43
637,0.47
638,0.37
639,0.57
640,0.59
641,0.24
642,0.17
643,0.43
644,0.81
645,0.82
646,0.35
647,0.45
648,0.4
649,0.72
650,0.3
651,0.38
652,0.65
653,0.61
654,0.3
655,0.27
656,0.5
657,0.23
658,0.55
659,0.08
660,0.77
661,0.18
662,0.3
663,0.44
664,0.53
