custid,gender
3500,0.58
3501,0.1
3502,0.3
3503,0.52
3504,0.36
3505,0.54
3506,0.28
3507,0.47
3508,0.34
3509,0.34
3510,0.23
3511,0.38
3512,0.51
3513,0.15
3514,0.46
3515,0.36
3516,0.14
3517,0.51
3518,0.48
3519,0.5
3520,0.42
3521,0.46
3522,0.92
3523,0.15
3524,0.38
3525,0.64
3526,0.27
3527,0.79
3528,0.47
3529,0.47
3530,0.48
3531,0.43
3532,0.64
3533,0.3
3534,0.36
3535,0.34
3536,0.6
3537,0.52
3538,0.59
3539,0.39
3540,0.22
3541,0.35
3542,0.4
3543,0.49
3544,0.46
3545,0.34
3546,0.16
3547,0.11
3548,0.58
3549,0.24
3550,0.47
3551,0.56
3552,0.39
3553,0.29
3554,0.58
3555,0.22
3556,0.57
3557,0.21
3558,0.34
3559,0.29
3560,0.36
3561,0.22
3562,0.24
3563,0.3
3564,0.46
3565,0.6
3566,0.05
3567,0.65
3568,0.32
3569,0.55
3570,0.42
3571,0.33
3572,0.66
3573,0.36
3574,0.35
3575,0.5
3576,0.66
3577,0.38
3578,0.38
3579,0.42
3580,0.55
3581,0.75
3582,0.46
3583,0.73
3584,0.48
3585,0.33
3586,0.06
3587,0.18
3588,0.25
3589,0.43
3590,0.38
3591,0.32
3592,0.7
3593,0.47
3594,0.23
3595,0.6
3596,0.3
3597,0.49
3598,0.42
3599,0.58
3600,0.62
3601,0.15
3602,0.3
3603,0.32
3604,0.48
3605,0.38
3606,0.5
3607,0.15
3608,0.27
3609,0.33
3610,0.42
3611,0.72
3612,0.74
3613,0.28
3614,0.5
3615,0.16
3616,0.47
3617,0.83
3618,0.38
3619,0.08
3620,0.47
3621,0.35
3622,0.42
3623,0.43
3624,0.29
3625,0.37
3626,0.54
3627,0.3
3628,0.55
3629,0.16
3630,0.23
3631,0.87
3632,0.43
3633,0.36
3634,0.28
3635,0.34
3636,0.29
3637,0.31
3638,0.34
3639,0.62
3640,0.42
3641,0.11
3642,0.63
3643,0.28
3644,0.38
3645,0.67
3646,0.11
3647,0.43
3648,0.38
3649,0.51
3650,0.14
3651,0.45
3652,0.34
3653,0.45
3654,0.55
3655,0.37
3656,0.49
3657,0.41
3658,0.2
3659,0.21
3660,0.26
3661,0.4
3662,0.24
3663,0.49
3664,0.54
3665,0.44
3666,0.6675
3667,0.22
3668,0.23
3669,0.59
3670,0.33
3671,0.4
3672,0.26
3673,0.51
3674,0.55
3675,0.79
3676,0.37
3677,0.5
3678,0.4
3679,0.55
3680,0.3
3681,0.38
3682,0.41
3683,0.23
3684,0.48
3685,0.48
3686,0.29
3687,0.25
3688,0.41
3689,0.66
3690,0.36
3691,0.14
3692,0.24
3693,0.35
3694,0.35
3695,0.87
3696,0.7
3697,0.26
3698,0.26
3699,0.41
3700,0.27
3701,0.17
3702,0.32
3703,0.49
3704,0.39
3705,0.59
3706,0.32
3707,0.14
3708,0.12
3709,0.34
3710,0.14
3711,0.22
3712,0.67
3713,0.3
3714,0.68
3715,0.45
3716,0.24
3717,0.48
3718,0.09
3719,0.31
3720,0.59
3721,0.35
3722,0.24
3723,0.27
3724,0.47
3725,0.4
3726,0.33
3727,0.49
3728,0.36
3729,0.47
3730,0.49
3731,0.44
3732,0.39
3733,0.83
3734,0.12
3735,0.47
3736,0.19
3737,0.65
3738,0.31
3739,0.46
3740,0.45
3741,0.65
3742,0.3
3743,0.47
3744,0.26
3745,0.5
3746,0.36
3747,0.14
3748,0.1
3749,0.8
3750,0.35
3751,0.51
3752,0.42
3753,0.6725
3754,0.27
3755,0.61
3756,0.67
3757,0.46
3758,0.49
3759,0.37
3760,0.44
3761,0.42
3762,0.31
3763,0.1
3764,0.43
3765,0.43
3766,0.77
3767,0.42
3768,0.17
3769,0.36
3770,0.59
3771,0.18
3772,0.48
3773,0.5
3774,0.35
3775,0.33
3776,0.63
3777,0.27
3778,0.24
3779,0.49
3780,0.52
3781,0.42
3782,0.36
3783,0.38
3784,0.63
3785,0.56
3786,0.36
3787,0.48
3788,0.71
3789,0.46
3790,0.17
3791,0.19
3792,0.23
3793,0.59
3794,0.37
3795,0.36
3796,0.14
3797,0.4
3798,0.52
3799,0.59
3800,0.43
3801,0.15
3802,0.19
3803,0.36
3804,0.3
3805,0.43
3806,0.32
3807,0.17
3808,0.49
3809,0.23
3810,0.4
3811,0.54
3812,0.64
3813,0.53
3814,0.31
3815,0.54
3816,0.52
3817,0.27
3818,0.33
3819,0.33
3820,0.53
3821,0.54
3822,0.41
3823,0.16
3824,0.12
3825,0.525
3826,0.31
3827,0.36
3828,0.49
3829,0.53
3830,0.95
3831,0.13
3832,0.3
3833,0.06
3834,0.25
3835,0.23
3836,0.33
3837,0.21
3838,0.61
3839,0.5
3840,0.42
3841,0.17
3842,0.26
3843,0.14
3844,0.3
3845,0.14
3846,0.41
3847,0.28
3848,0.18
3849,0.61
3850,0.19
3851,0.18
3852,0.43
3853,0.45
3854,0.5
3855,0.15
3856,0.34
3857,0.18
3858,0.37
3859,0.52
3860,0.6775
3861,0.17
3862,0.32
3863,0.52
3864,0.795
3865,0.33
3866,0.8
3867,0.56
3868,0.55
3869,0.53
3870,0.41
3871,0.54
3872,0.61
3873,0.45
3874,0.46
3875,0.12
3876,0.24
3877,0.21
3878,0.61
3879,0.69
3880,0.53
3881,0.13
3882,0.22
3883,0.41
3884,0.22
3885,0.37
3886,0.28
3887,0.28
3888,0.36
3889,0.11
3890,0.54
3891,0.45
3892,0.14
3893,0.16
3894,0.16
3895,0.2
3896,0.31
3897,0.15
3898,0.54
3899,0.31
3900,0.54
3901,0.47
3902,0.47
3903,0.47
3904,0.49
3905,0.44
3906,0.38
3907,0.29
3908,0.47
3909,0.62
3910,0.26
3911,0.09
3912,0.55
3913,0.46
3914,0.21
3915,0.21
3916,0.27
3917,0.61
3918,0.61
3919,0.22
3920,0.56
3921,0.45
3922,0.34
3923,0.7975
3924,0.58
3925,0.25
3926,0.26
3927,0.11
3928,0.54
3929,0.5
3930,0.36
