ID,predict
53608,0.76
51055,0.82
52573,0.03
50458,0.17
52272,0.27
52072,0.79
50973,0.31
50553,0.05
53135,0.16
53835,0.18
51843,0.11
54145,0.41
53878,0.37
54216,0.1
51728,0.32
52863,0.16
50760,0.4
50823,0.47
53928,0.82
52683,0.6
50200,0.25
52984,0.03
50747,0.18
54128,0.18
52001,0.81
50276,0.44
52651,0.69
53535,0.09
52387,0.48
52884,0.98
53205,0.24
52873,0.37
52376,0.37
51950,0.56
51650,0.85
53901,0.12
51919,0.13
50065,0.01
52885,0.4
51413,0.08
52768,0.47
51375,0.1
54157,0.25
53328,0.14
53362,0.02
52202,0.02
50640,0.16
52298,0.45
53477,0.08
50078,0.32
51998,0.22
52336,0.09
52654,0.12
53341,0.15
53868,0.85
52945,0.2
52411,0.08
52222,0.18
51813,0.07
50175,0.31
51744,0.24
53521,0.86
51261,0.08
51619,0.02
51479,0.19
52020,0.05
53306,0.11
53013,0.63
50117,0.21
51992,0.35
54233,0.89
51709,0.65
50930,0.22
50637,0.23
52333,0.43
51627,0.12
53524,0.09
50167,0.06
50330,0.57
53678,0.12
53581,0.81
50243,0.2
50237,0.13
53032,0.74
50235,0.1
50012,0.21
53264,0.52
50729,0.1
53195,0.24
50069,0.62
52091,0.35
50697,0.18
51477,0.1
52262,0.58
53822,0.17
53533,0.87
52983,0.51
50777,0.08
53630,0.21
52743,0.24
52584,0.59
51428,0.31
54194,0.13
52849,0.72
52839,0.77
52867,0.06
53043,0.44
52266,0.14
52478,0.36
51336,0.92
52840,0.37
51997,0.07
53976,0.36
50670,0.13
50370,0.12
50921,0.09
50983,0.31
51456,0.5
53104,0.86
50594,0.34
52201,0.22
52992,0.01
50240,0.15
50014,0.08
52583,0.22
52625,0.22
51357,0.28
50080,0.14
50521,0.04
51886,0.22
52367,0.05
52917,0.07
53378,0.18
50779,0.08
52352,0.37
50021,0.47
50726,0.09
52679,0.01
50389,0.23
50905,0.05
50409,0.33
52473,0.22
52089,0.14
50522,0.09
50603,0.68
53796,0.05
53167,0.13
53351,0.09
53680,0.82
53273,0.74
52913,0.21
50098,0.16
53479,0.17
50804,0.33
50074,0.76
53635,0.01
50189,0.86
53138,0.39
53786,0.52
50268,0.07
53688,0.49
51962,0.18
53639,0.14
53792,0.28
52631,0.48
50129,0.16
52712,0.09
50432,0.36
53221,0.31
53474,0.5
54232,0.39
50151,0.25
52516,0.66
53019,0.04
52510,0.6
