ID,predict,preding
53608,0.0,0.82
51055,0.0,0.8
52573,0.0,0.02
50458,0.0,0.16
52272,0.0,0.31
52072,0.0,0.75
50973,0.0,0.31
50553,0.0,0.1
53135,0.0,0.15
53835,0.0,0.16
51843,0.0,0.06
54145,0.0,0.39
53878,0.0,0.27
54216,0.0,0.16
51728,0.0,0.33
52863,0.0,0.25
50760,0.0,0.4
50823,0.0,0.41
53928,0.0,0.81
52683,0.0,0.57
50200,0.0,0.16
52984,0.0,0.09
50747,0.0,0.25
54128,0.0,0.22
52001,0.0,0.85
50276,0.0,0.36
52651,0.0,0.78
53535,0.0,0.09
52387,0.0,0.37
52884,0.0,0.92
53205,0.0,0.23
52873,0.0,0.45
52376,0.0,0.44
51950,0.0,0.49
51650,0.0,0.83
53901,0.0,0.14
51919,0.0,0.19
50065,0.0,0.03
52885,0.0,0.23
51413,0.0,0.13
52768,0.0,0.42
51375,0.0,0.13
54157,0.0,0.36
53328,0.0,0.11
53362,0.0,0.08
52202,0.0,0.01
50640,0.0,0.2
52298,0.0,0.45
53477,0.0,0.11
50078,0.0,0.23
51998,0.0,0.14
52336,0.0,0.16
52654,0.0,0.21
53341,0.0,0.12
53868,0.0,0.79
52945,0.0,0.14
52411,0.0,0.09
52222,0.0,0.12
51813,0.0,0.09
50175,0.0,0.36
51744,0.0,0.15
53521,0.0,0.87
51261,0.0,0.07
51619,0.0,0.01
51479,0.0,0.22
52020,0.0,0.15
53306,0.0,0.11
53013,0.0,0.62
50117,0.0,0.19
51992,0.0,0.36
54233,0.0,0.87
51709,0.0,0.63
50930,0.0,0.18
50637,0.0,0.19
52333,0.0,0.42
51627,0.0,0.09
53524,0.0,0.12
50167,0.0,0.04
50330,0.0,0.61
53678,0.0,0.1
53581,0.0,0.81
50243,0.0,0.23
50237,0.0,0.09
53032,0.0,0.71
50235,0.0,0.11
50012,0.0,0.17
53264,0.0,0.53
50729,0.0,0.16
53195,0.0,0.15
50069,0.0,0.59
52091,0.0,0.43
50697,0.0,0.17
51477,0.0,0.14
52262,0.0,0.6
53822,0.0,0.12
53533,0.0,0.85
52983,0.0,0.47
50777,0.0,0.19
53630,0.0,0.17
52743,0.0,0.22
52584,0.0,0.63
51428,0.0,0.31
54194,0.0,0.15
52849,0.0,0.72
52839,0.0,0.72
52867,0.0,0.07
53043,0.0,0.43
52266,0.0,0.18
52478,0.0,0.51
51336,0.0,0.88
52840,0.0,0.33
51997,0.0,0.07
53976,0.0,0.34
50670,0.0,0.15
50370,0.0,0.1
50921,0.0,0.05
50983,0.0,0.4
51456,0.0,0.39
53104,0.0,0.78
50594,0.0,0.38
52201,0.0,0.16
52992,0.0,0.01
50240,0.0,0.14
50014,0.0,0.1
52583,0.0,0.29
52625,0.0,0.26
51357,0.0,0.23
50080,0.0,0.1
50521,0.0,0.07
51886,0.0,0.3
