id,predict
47472,0.1
36841,0.31
3135,0.16
65218,0.0
1847,0.01
50001,0.01
32126,0.14
19675,0.06
29933,0.0
55351,0.18
35293,0.36
65473,0.0
2182,0.41
11933,0.46
56476,0.0
40471,0.01
2849,0.03
43492,0.01
14688,0.0
47037,0.13
49762,0.02
59737,0.15
28378,0.27
65453,0.27
21762,0.0
52800,0.03
10659,0.0
38047,0.23
67318,0.18
67210,0.0
43090,0.2
42460,0.08
13997,0.01
9143,0.02
5103,0.07
15102,0.39
62439,0.01
70058,0.19
19735,0.13
59126,0.01
5927,0.01
32503,0.38
40702,0.17
26604,0.0
42503,0.04
68994,0.07
30102,0.07
67466,0.15
67602,0.0
70752,0.01
56324,0.04
31703,0.12
36710,0.2
2982,0.14
42251,0.4
30677,0.0
39375,0.0
52034,0.04
36007,0.0
5581,0.0
66955,0.27
46343,0.4
54827,0.22
44799,0.02
12469,0.01
10541,0.06
46210,0.17
12557,0.02
4959,0.0
54065,0.02
4297,0.47
4057,0.21
51254,0.17
1552,0.1
61365,0.03
66638,0.16
65256,0.07
47348,0.12
63491,0.19
72386,0.03
28261,0.33
59906,0.03
60744,0.18
51532,0.08
6529,0.03
60464,0.08
41238,0.01
29873,0.09
11861,0.14
23968,0.26
69768,0.03
36338,0.07
43734,0.02
2326,0.36
18888,0.0
68438,0.04
51746,0.02
31092,0.0
20165,0.37
13960,0.0
68843,0.01
924,0.12
29470,0.0
4651,0.16
65130,0.03
56995,0.5
15990,0.23
8723,0.01
65481,0.08
57953,0.01
44628,0.02
71297,0.58
53954,0.01
6369,0.16
31454,0.02
44927,0.03
54695,0.29
51554,0.03
19199,0.42
210,0.18
51959,0.01
29915,0.07
7047,0.02
69435,0.0
52282,0.1
6793,0.03
12064,0.14
71061,0.11
2550,0.0
559,0.02
61245,0.1
39129,0.04
14517,0.04
52080,0.01
51916,0.01
51823,0.24
34567,0.46
52549,0.14
14387,0.02
57968,0.0
43028,0.16
26154,0.04
66080,0.01
62914,0.13
542,0.02
31590,0.02
49627,0.02
12396,0.01
29095,0.21
1213,0.0
47356,0.0
17175,0.0
59540,0.01
37640,0.21
2458,0.4
5723,0.07
47848,0.0
23543,0.01
46093,0.01
6264,0.02
30328,0.16
51149,0.22
68003,0.1
21238,0.02
40213,0.03
62507,0.05
21346,0.0
67773,0.02
46314,0.0
37053,0.03
41652,0.07
45965,0.07
12228,0.0
28904,0.21
40899,0.25
42647,0.15
33723,0.03
72824,0.03
21408,0.01
11280,0.01
33562,0.17
24218,0.33
20256,0.02
30145,0.14
61465,0.01
66419,0.0
56567,0.01
70874,0.2
57254,0.1
48017,0.09
3606,0.01
30379,0.15
31481,0.0
1151,0.01
67052,0.02
24066,0.09
11999,0.2
45787,0.01
20185,0.16
48989,0.02
52342,0.0
17198,0.02
8410,0.0
28348,0.05
12175,0.05
26267,0.35
71222,0.31
39373,0.49
7700,0.03
59945,0.01
712,0.48
65407,0.18
65277,0.43
54437,0.22
13365,0.06
60159,0.01
70845,0.18
65388,0.03
51958,0.2
44862,0.02
5799,0.26
58101,0.11
52089,0.02
6295,0.07
72020,0.34
48871,0.11
2218,0.03
69249,0.01
23410,0.19
39105,0.15
9170,0.23
71044,0.0
46136,0.0
44426,0.02
7293,0.01
2019,0.01
49179,0.01
62075,0.0
14491,0.01
52668,0.02
36155,0.14
47345,0.03
5511,0.09
48836,0.04
10826,0.04
65998,0.0
45538,0.01
70230,0.01
27572,0.0
3429,0.03
5074,0.02
29453,0.0
31840,0.0
68020,0.09
55137,0.02
12686,0.03
10238,0.32
17515,0.0
56286,0.19
18108,0.03
12117,0.0
43424,0.33
23488,0.35
60899,0.01
41175,0.01
9923,0.08
8920,0.06
55455,0.0
59642,0.03
53924,0.02
57598,0.22
2291,0.48
44962,0.1
954,0.0
10548,0.13
60491,0.3
34257,0.03
18937,0.29
49196,0.0
50931,0.17
36896,0.03
12618,0.35
18352,0.0
22052,0.35
70654,0.01
5563,0.33
59027,0.01
7273,0.1
40242,0.0
48472,0.09
60602,0.12
13111,0.4
70428,0.01
29934,0.0
48843,0.04
44224,0.03
51894,0.25
31857,0.4
4702,0.04
1261,0.08
3591,0.28
21209,0.03
53695,0.23
7953,0.0
40842,0.0
22284,0.0
40144,0.0
36909,0.14
45395,0.0
36857,0.22
354,0.15
70992,0.0
28559,0.0
19805,0.13
63323,0.08
65766,0.03
6372,0.0
62233,0.15
16536,0.0
31720,0.0
38560,0.08
56001,0.07
15166,0.39
13571,0.25
27213,0.15
44526,0.09
66315,0.03
56616,0.0
22969,0.0
64520,0.24
19590,0.05
70241,0.02
8203,0.0
29539,0.19
41146,0.02
51486,0.16
68420,0.01
23757,0.27
11843,0.28
12366,0.0
12689,0.27
21625,0.01
16987,0.02
37440,0.13
16927,0.0
44010,0.01
14099,0.17
66333,0.1
41069,0.04
14695,0.45
63958,0.0
18414,0.03
30290,0.01
5951,0.09
8976,0.0
10552,0.42
66772,0.0
35660,0.0
38014,0.03
35229,0.1
4077,0.18
14241,0.07
10792,0.01
69112,0.48
62182,0.01
17950,0.06
31564,0.0
2543,0.01
67981,0.19
37937,0.32
63050,0.0
12985,0.32
63656,0.03
45565,0.01
65814,0.03
64132,0.1
9752,0.24
56996,0.03
62861,0.3
40087,0.12
36638,0.12
70267,0.16
31364,0.0
29224,0.02
16582,0.0
72231,0.03
10018,0.02
9199,0.02
27693,0.02
43059,0.16
61418,0.0
70380,0.0
15539,0.01
16263,0.0
41648,0.0
19931,0.14
39186,0.27
33401,0.14
15791,0.24
6072,0.09
17174,0.0
25326,0.01
50441,0.02
22127,0.05
18180,0.01
15969,0.02
42929,0.17
16868,0.03
72366,0.19
35772,0.05
22607,0.03
32689,0.13
39639,0.05
51421,0.05
45622,0.02
21953,0.04
56976,0.02
58833,0.0
12812,0.02
31835,0.04
70965,0.0
69666,0.0
32127,0.01
31473,0.0
7564,0.12
20973,0.07
72435,0.04
59894,0.08
35941,0.04
7937,0.14
46015,0.05
66502,0.01
17708,0.26
22540,0.14
59992,0.19
54395,0.42
59045,0.1
5319,0.03
28326,0.46
22254,0.27
33924,0.03
42072,0.15
10973,0.01
56736,0.0
40447,0.17
59437,0.13
47005,0.02
32766,0.07
37090,0.14
22352,0.0
34772,0.12
33552,0.0
22417,0.0
11762,0.33
53748,0.17
22330,0.05
24009,0.02
55790,0.02
61171,0.02
16817,0.46
13176,0.18
6726,0.01
452,0.15
11770,0.04
59190,0.39
63577,0.13
70042,0.16
63764,0.03
5647,0.06
69551,0.29
8614,0.27
17347,0.01
25088,0.09
58202,0.06
35565,0.01
15351,0.0
48298,0.42
67217,0.01
37089,0.02
10511,0.03
17270,0.1
44105,0.36
62466,0.36
10710,0.11
31596,0.01
8541,0.23
34966,0.0
57854,0.01
50136,0.13
11745,0.02
40622,0.06
3816,0.13
43271,0.07
43615,0.05
55051,0.01
63467,0.02
72819,0.34
17791,0.01
53144,0.14
28913,0.23
41148,0.13
29552,0.21
26742,0.15
26723,0.14
71929,0.01
55337,0.0
39236,0.07
1665,0.44
10434,0.14
28150,0.28
52882,0.08
49265,0.2
60211,0.0
40837,0.04
50522,0.22
44112,0.05
22269,0.35
40076,0.02
40210,0.4
32166,0.09
41593,0.19
65944,0.04
34720,0.05
60973,0.06
41875,0.02
25325,0.01
38143,0.31
68725,0.48
41081,0.12
45252,0.02
49900,0.01
19557,0.01
53694,0.35
56254,0.03
13503,0.25
31867,0.06
44510,0.02
59928,0.03
8264,0.02
68268,0.24
64541,0.01
35296,0.19
11382,0.0
38078,0.51
5111,0.13
10950,0.01
6493,0.01
61979,0.1
14180,0.0
18680,0.18
70268,0.25
41930,0.02
321,0.26
27794,0.0
63287,0.11
30658,0.0
34415,0.02
42806,0.24
45796,0.0
2314,0.1
37060,0.4
66370,0.0
57645,0.22
51162,0.0
48796,0.35
56546,0.34
4383,0.1
49939,0.02
37327,0.37
64189,0.19
40705,0.02
12482,0.18
7538,0.05
50723,0.02
41861,0.06
239,0.32
1112,0.02
56021,0.21
41271,0.34
39563,0.02
42786,0.36
46670,0.36
11573,0.02
36704,0.03
24972,0.0
13561,0.19
62019,0.03
121,0.03
10651,0.05
54871,0.38
1953,0.0
65105,0.35
24256,0.01
46683,0.03
6852,0.04
19508,0.02
33551,0.15
48129,0.09
24074,0.0
15987,0.03
35512,0.17
28513,0.25
45805,0.01
11259,0.04
22098,0.01
3348,0.12
70822,0.16
59847,0.01
72160,0.23
25904,0.52
34122,0.06
16593,0.12
13439,0.08
35684,0.23
68089,0.03
24428,0.01
28484,0.41
59752,0.05
24669,0.33
27135,0.24
46688,0.03
2538,0.0
62716,0.25
40513,0.04
44300,0.08
29281,0.34
72911,0.16
21967,0.02
53401,0.5
31166,0.01
59522,0.38
65969,0.0
43590,0.01
72451,0.05
48748,0.23
49925,0.17
6304,0.07
36275,0.05
69665,0.2
48722,0.04
28873,0.01
67733,0.02
24603,0.2
36561,0.06
35602,0.04
38804,0.24
49901,0.1
48184,0.15
