id,pose
1,1.0
3,1.0
8,0.99
10,1.0
17,0.01
23,0.02
33,0.01
35,0.02
42,0.02
47,0.02
50,1.0
54,0.01
60,0.01
66,1.0
67,0.01
71,0.99
87,0.96
91,0.02
97,0.05
99,0.93
101,0.01
102,0.05
107,0.0
108,0.97
110,0.01
118,0.02
119,0.01
122,0.98
126,1.0
130,0.09
135,0.04
139,0.0
146,0.03
148,0.01
149,0.0
153,0.03
155,0.13
161,0.97
167,0.03
173,1.0
183,0.03
196,0.98
200,0.03
204,0.96
218,1.0
222,0.08
227,0.87
228,0.99
232,1.0
241,1.0
249,1.0
253,1.0
256,0.0
258,0.0
260,1.0
264,1.0
266,0.04
278,0.99
279,0.98
282,1.0
284,1.0
287,0.89
288,0.98
295,0.04
302,1.0
303,0.0
305,0.1
312,0.97
315,0.01
329,1.0
335,1.0
356,1.0
363,0.04
364,0.01
365,0.02
368,0.98
372,0.04
379,0.0
380,0.0
385,1.0
392,1.0
401,0.03
402,0.93
406,0.97
420,0.0
426,0.05
427,0.04
430,0.84
437,1.0
442,0.0
446,0.0
447,0.03
457,1.0
458,0.99
464,0.98
479,0.0
480,0.1
481,0.03
483,0.01
495,1.0
508,1.0
528,0.0
530,0.0
535,1.0
537,1.0
538,0.01
540,0.03
548,0.01
554,0.01
557,1.0
558,0.98
570,0.0
571,0.02
574,0.0
582,1.0
587,1.0
593,1.0
595,0.0
597,1.0
599,0.1
602,0.02
605,1.0
613,0.9
625,0.98
627,1.0
632,0.0
635,0.0
645,0.09
651,0.99
655,0.0
656,0.03
658,1.0
668,0.93
671,0.0
674,0.99
676,1.0
679,1.0
680,0.03
682,0.06
691,0.94
697,1.0
707,1.0
714,1.0
717,0.01
728,0.99
732,0.0
734,0.0
739,0.02
740,0.01
747,0.01
749,0.05
750,0.0
752,0.0
758,0.03
764,0.01
775,0.01
778,0.02
780,0.02
785,1.0
788,0.99
793,1.0
798,0.01
803,0.03
804,0.0
805,0.0
816,0.02
819,0.98
823,0.99
832,0.0
849,0.14
858,1.0
863,1.0
870,1.0
881,0.11
890,1.0
891,0.01
895,1.0
901,0.01
906,0.01
908,1.0
911,0.01
917,1.0
926,1.0
930,0.0
934,0.01
947,1.0
958,1.0
965,1.0
975,0.09
976,0.97
982,0.99
991,1.0
994,0.02
997,0.0
998,1.0
1001,1.0
1006,0.06
1009,0.06
1018,0.0
1019,0.99
1022,0.01
1028,0.02
1029,0.07
1030,0.05
1037,0.66
1039,1.0
1043,1.0
1055,0.0
1060,0.96
1062,0.03
1067,0.0
1068,0.54
1084,0.0
1089,0.01
1099,1.0
1101,0.01
1114,0.02
1116,0.15
1129,0.02
1150,1.0
1158,0.0
