ID,pose
1,0.99
3,1.0
8,0.98
10,1.0
17,0.03
23,0.01
33,0.0
35,0.03
42,0.06
47,0.0
50,1.0
54,0.02
60,0.0
66,1.0
67,0.0
71,1.0
87,0.92
91,0.01
97,0.05
99,0.98
101,0.01
102,0.03
107,0.0
108,0.97
110,0.03
118,0.0
119,0.0
122,0.98
126,1.0
130,0.08
135,0.01
139,0.0
146,0.01
148,0.02
149,0.0
153,0.0
155,0.11
161,0.98
167,0.03
173,0.99
183,0.02
196,0.99
200,0.03
204,0.95
218,0.99
222,0.11
227,0.84
228,0.99
232,0.98
241,0.99
249,1.0
253,0.99
256,0.04
258,0.0
260,1.0
264,0.99
266,0.04
278,0.99
279,0.98
282,1.0
284,1.0
287,0.92
288,0.99
295,0.04
302,1.0
303,0.0
305,0.05
312,0.99
315,0.05
329,0.98
335,1.0
356,1.0
363,0.0
364,0.01
365,0.01
368,1.0
372,0.02
379,0.01
380,0.0
385,0.99
392,0.98
401,0.01
402,0.94
406,0.99
420,0.0
426,0.02
427,0.02
430,0.82
437,1.0
442,0.0
446,0.03
447,0.03
457,1.0
458,1.0
464,1.0
479,0.01
480,0.1
481,0.01
483,0.0
495,1.0
508,0.98
528,0.03
530,0.0
535,1.0
537,1.0
538,0.0
540,0.0
548,0.02
554,0.01
557,1.0
558,0.99
570,0.0
571,0.02
574,0.02
582,1.0
587,1.0
593,1.0
595,0.0
597,1.0
599,0.11
602,0.02
605,0.99
613,0.9
625,0.99
627,1.0
632,0.0
635,0.0
645,0.04
651,0.96
655,0.0
656,0.02
658,1.0
668,0.96
671,0.01
674,1.0
676,1.0
679,1.0
680,0.03
682,0.03
691,0.95
697,1.0
707,0.99
714,1.0
717,0.01
728,1.0
732,0.01
734,0.02
739,0.02
740,0.0
747,0.01
749,0.04
750,0.01
752,0.0
758,0.03
764,0.0
775,0.0
778,0.0
780,0.01
785,1.0
788,0.99
793,1.0
798,0.0
803,0.01
804,0.03
805,0.01
816,0.0
819,0.98
823,0.99
832,0.01
849,0.08
858,1.0
863,0.99
870,1.0
881,0.1
890,1.0
891,0.03
895,1.0
901,0.0
906,0.02
908,1.0
911,0.02
917,1.0
926,1.0
930,0.0
934,0.01
947,1.0
958,1.0
965,1.0
975,0.11
976,1.0
982,1.0
991,1.0
994,0.0
997,0.03
998,1.0
1001,0.99
1006,0.04
1009,0.05
1018,0.01
1019,0.99
1022,0.02
1028,0.01
1029,0.04
1030,0.02
1037,0.62
1039,1.0
1043,1.0
1055,0.06
1060,0.94
1062,0.04
1067,0.01
1068,0.57
1084,0.01
1089,0.01
1099,1.0
1101,0.0
1114,0.03
1116,0.16
1129,0.03
1150,1.0
1158,0.04
1167,1.0
1175,1.0
1184,0.0
1186,0.01
1189,0.01
1191,1.0
1193,1.0
1196,0.01
1198,0.01
1199,0.03
1203,1.0
1217,0.07
1221,0.0
1226,1.0
1232,0.02
1233,1.0
1247,0.97
1251,0.63
1256,1.0
1259,0.02
1260,0.01
1265,0.0
1266,0.0
1283,1.0
1289,1.0
1293,0.95
1295,0.99
1300,0.93
1305,0.96
1320,0.0
1324,0.0
1329,0.02
1336,1.0
1344,1.0
1355,0.0
1360,0.0
1366,1.0
1367,0.0
1369,1.0
1370,1.0
1378,1.0
1382,0.01
1383,1.0
1387,0.01
1395,1.0
1396,1.0
1399,0.99
1403,0.02
1416,0.01
1420,1.0
1428,1.0
1432,0.09
1433,0.03
1443,0.04
1455,1.0
1460,1.0
1462,0.98
1471,0.99
1472,0.02
1482,0.03
1490,0.02
1493,0.98
1496,0.02
1500,1.0
1501,0.02
1503,0.97
1504,1.0
1507,1.0
1513,0.02
1515,0.96
1517,0.0
1519,0.0
1527,0.01
1535,0.01
1536,0.99
1538,0.1
1539,0.0
1542,0.0
1546,0.09
1552,0.98
1557,0.0
1559,0.99
1568,0.96
1576,1.0
1578,0.01
1579,0.06
1587,0.9
1589,1.0
1594,0.99
1606,0.15
1607,1.0
1608,1.0
1609,0.06
1611,1.0
1621,0.0
1633,1.0
1640,0.05
1641,1.0
1645,1.0
1650,0.02
1661,1.0
1669,1.0
1675,0.0
1676,0.02
1680,0.01
1689,0.03
1699,1.0
1702,0.03
1704,0.02
1709,1.0
1716,0.01
1717,0.0
1721,0.0
1725,1.0
1729,0.98
1734,0.99
1735,0.0
1738,1.0
1743,0.99
1747,0.01
1761,0.01
1769,0.0
1778,0.0
1789,0.0
1799,1.0
1806,0.0
